Belligerents.allies,Belligerents.axis,Belligerents.third party,Casualties and losses.allies,Casualties and losses.axis,Casualties and losses.third party,Casualties and losses.total,Commanders and leaders.allies,Commanders and leaders.axis,Commanders and leaders.third party,Date,Location,Result,Strength.allies,Strength.axis,Strength.third party,Strength.total,Territorial,level,name,parent,time,url
Romania   Germany   Italy   (air support),Soviet Union,,"92,545 overall 17,729 dead 63,345 wounded 11,471 missing 19 tanks 90 artillery pieces 20 aircraft [4]","Low estimate:  41,268 overall [3] 16,578 dead/missing 24,690 wounded 1 armored train 151 aircraft High estimate:  60,000 overall [5] Naval losses to Romanian forces: 1 destroyer possibly damaged 1 armed merchantman captured",,,Ion Antonescu   Alexandru Ioaniţiu   †   Nicolae Ciupercă   Iosif Iacobici   Ioan Glogojeanu   † [1]   Nicolae Deleanu   C. D. Nicolescu   Horia Macellariu   Erich von Manstein,Georgiy Sofronov   Ivan Petrov (Late)   Gavriil Zhukov   Filipp Oktyabrskiy,,"8 August – 16 October 1941 (2 months, and 8 days)","Odessa region, Ukrainian SSR, Soviet Union","Axis victory, subsequent 1941 Odessa massacre","160,000 men (initially) [2] 340,223 men (total)","34,500 men (initial) [3] 240 artillery pieces 120,000+ men (total)",,,,100,Siege of Odessa (1941),Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Siege_of_Odessa_(1941)
Germany,Soviet Union,,"Total: 45,654 men [2]","700,544 men [1] [ contradictory ] 
 
 616,304 killed or captured 
 84,240 wounded and sick 
411 tanks and SPGs destroyed [3] 343 aircraft destroyed [3] 28,419 guns and mortars lost [2]",,,Fedor von Bock   Gerd von Rundstedt   Heinz Guderian,Semyon Budyonny [a]   Semyon Timoshenko   Mikhail Kirponos   †   Mykhailo Burmystenko   †,,23 August – 26 September 1941,"East and South of Kiev, Ukrainian SSR, Soviet Union","Decisive German victory

Encirclement of Soviet troops
Soviet bombings of Kiev as part of scorched earth policy
Massacre of Soviet POWs and civilians at Babi Yar","Army Group South: 500,000 Army Group Centre: unknown","627,000 [1]",,,German occupation of Kiev,100,Battle of Kiev (1941),Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Battle_of_Kiev_(1941)
,,,,,,,,,,,,,,,,,,100,Bombing of Tallinn in World War II,Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Bombing_of_Tallinn_in_World_War_II
Finland   Germany,Soviet Union,,Unknown,"12,000+ dead (civilian and military) 28 large transports and auxiliary ships 16 warships [1] 6 small transports 34 merchant vessels sunk",,,Unknown,Admiral  Vladimir Tributz Marshal  Kliment Voroshilov,,27–31 August 1941,Gulf of Finland,Finnish–German victory,Numerous minefields Numerous bomber aircraft Coastal batteries Numerous torpedo boats,"1 armed cruiser 30,000",,,,100,Evacuation of Tallinn (1941),Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Evacuation_of_Tallinn_(1941)
Germany,Soviet Union,,"23,000 (XX Army Corps for the period from August 8 to Sept 8) [2]","10,701 killed or missing 21,152 wounded 31,853 overall [1]",,,Fedor von Bock,Georgy Zhukov   Konstantin Rakutin   †,,"August 30 – September 8, 1941","Yelnya, Soviet Union54°34′N 33°10′E﻿ / ﻿54.567°N 33.167°E﻿ / 54.567; 33.167Coordinates: 54°34′N 33°10′E﻿ / ﻿54.567°N 33.167°E﻿ / 54.567; 33.167",Soviet tactical victory,,"103,200 [1]",,,,100,Yelnya Offensive,Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Yelnya_Offensive
Germany   Romania,Soviet Union,,"12,421 men (21 September–10 October) [1] 
 
 2,456 killed 
 9,699 wounded 
 266 missing","106,332 men captured [2] 212 tanks destroyed or captured [2] 772 guns captured [2]",,,Gerd von Rundstedt   Erich von Manstein   Ewald von Kleist,Semyon Timoshenko   Dmitry Ryabyshev   Yakov Cherevichenko,,26 September 1941 – 11 October 1941(2 weeks and 1 day),Sea of Azov,Axis victory,,,,,,100,Battle of the Sea of Azov,Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Battle_of_the_Sea_of_Azov
,,,,,,,,,,,,,,,,,,100,Operation Wotan,Axis invasion of the Soviet Union,,https://en.wikipedia.org/w/index.php?title=Operation_Wotan&action=edit&redlink=1
,,,,,,,,,,,,,,,,,,100,Nevsky Pyatachok,Siege of Leningrad (1941–1944),,https://en.wikipedia.org/wiki/Nevsky_Pyatachok
,,,,,,,,,,,,,,,,,,100,Operation Nordlicht (1942),Siege of Leningrad (1941–1944),,https://en.wikipedia.org/wiki/Operation_Nordlicht_(1942)
Germany,Soviet Union,,"(Only between August 28–September 30) 5,893 dead,  Total  26,000 [1] [2]","40,085 dead and missing (including 12,000 captured) 73,589 wounded and sick  Total  113,674 [3]",,,Erich von Manstein   Georg von Küchler,Kirill Meretskov   Leonid Govorov,,"August 19 – October 10, 1942","Southern shore of Lake Ladoga, near present-day Sinyavino and Saint Petersburg, Russia","Indecisive. Soviet offensive defeated, German offensive cancelled.",18th Army Reinforcements: 11th Army,"2nd Shock Army 8th Army Elements of  Leningrad Front Total 190,000 men",,,,100,Sinyavino Offensive (1942),Siege of Leningrad (1941–1944),,https://en.wikipedia.org/wiki/Sinyavino_Offensive_(1942)
Germany,Soviet Union,,"12,000 killed 32,570 wounded [3]","33,940 killed 71,142 wounded [4]",,,Georg Lindemann,Kirill Meretskov Leonid Govorov,,12–30 January 1943 (1943-01-12 – 1943-01-30),South of Lake Ladoga,Soviet victory,26 divisions [1] 700 artillery 50 tanks [2],"20 divisions 15 brigades 4,600 artillery 500 tanks 900 aircraft [2]",,,,100,Operation Iskra,Siege of Leningrad (1941–1944),,https://en.wikipedia.org/wiki/Operation_Iskra
Germany   Finland [1] [2]   Italy [3],Soviet Union,,"Army Group North :  1941 : 85,371 total casualties (KIA, WIA, MIA) [5] 1942 : 267,327 total casualties (KIA, WIA, MIA) [6] 1943 : 205,937 total casualties (KIA, WIA, MIA) [7] 1944 : 21,350 total casualties (KIA, WIA, MIA) [8] Total : 579,985 casualties","Northern Front : 1,017,881 killed, captured or missing [9] 2,418,185 wounded and sick [9] Total : 3,436,066 casualties",,,W. Ritter von Leeb   Georg von Küchler   C.G.E. Mannerheim [4]   Erik Heinrichs,Markian Popov   Kliment Voroshilov   Georgy Zhukov   Ivan Fedyuninsky   Mikhail Khozin   Leonid Govorov     Kirill Meretskov,,"8 September 1941 – 27 January 1944(2 years, 4 months, 2 weeks and 5 days)","Leningrad, Russian SFSR, Soviet Union59°55′49″N 30°19′09″E﻿ / ﻿59.930248°N 30.319061°E﻿ / 59.930248; 30.319061Coordinates: 59°55′49″N 30°19′09″E﻿ / ﻿59.930248°N 30.319061°E﻿ / 59.930248; 30.319061","Soviet victory

Siege lifted by Soviet forces","725,000","930,000",,,Axis forces are repelled 60–100 km away from Leningrad.,3,Siege of Leningrad (1941–1944),Axis invasion of the Soviet Union,Nevsky Pyatachok,https://en.wikipedia.org/wiki/Siege_of_Leningrad
Germany,Soviet Union,,unknown,"80,000 killed or missing 50,000 captured",,,Fedor von Bock     Heinz Guderian     Maximilian von Weichs,Andrey Yeryomenko   Semyon Timoshenko   Georgy Zhukov,,30 September–21 October 1941,"Bryansk, Soviet Union",German victory,unknown,Unknown,,,,100,Battle of Bryansk (1941),Axis invasion of the Soviet Union,October 1941,https://en.wikipedia.org/wiki/Battle_of_Bryansk_(1941)
Germany   Romania,Soviet Union,,"30,000 dead, wounded or missing","65,000 captured 212 Vehicles destroyed 672 guns 1 cargo ship sunk",,,Erich von Manstein   Wolfram Freiherr von Richthofen   Gheorghe Avramescu   Constantin Costăchescu,Gordey Levchenko   Fyodor Kuznetsov   Ivan Yefimovich Petrov,,18 October–16 November 1941,"Crimea, Soviet Union",Axis victory,,,,,,100,Battle of the Crimea (1941),Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Crimea_Campaign
Germany,Soviet Union,,unknown,"unknown, but [2] probably higher",,,Erwin Vierow     Anton Dostler,Viktor Tsyganov,,20–24 October 1941,"Kharkov, Ukrainian SSR, Soviet Union",German victory,"Two divisions 1 Sturmgeschütz-Abteilung 10,000–30,000 men (est.) 12  StuG III",One division [1],,,,100,First Battle of Kharkov,Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/First_Battle_of_Kharkov
Germany,Soviet Union,,,,,,Günther von Kluge,Dmitry Lelyushenko,,13 October 1941 – 18 January 1942,"Borodino, Russian SFSR55°30′31″N 35°49′16″E﻿ / ﻿55.50861°N 35.82111°E﻿ / 55.50861; 35.82111Coordinates: 55°30′31″N 35°49′16″E﻿ / ﻿55.50861°N 35.82111°E﻿ / 55.50861; 35.82111",German victory in OctoberSoviet victory in January,2nd SS Division Das Reich 10th Panzer Division 18th Panzer Brigade 19th Panzer Brigade,32nd Rifle Division 82nd Rifle Division 36th Motorcycle Regiment 509th Anti-Tank Regiment,,,,100,Battle at Borodino Field,Axis invasion of the Soviet Union,October 1941 – January 1942,https://en.wikipedia.org/wiki/Battle_at_Borodino_Field
Germany   Romania,Soviet Union,,"38,362
 
 
 Breakdown 
 Kerch losses: 
 
 21 December – 31 December: 6,654 men [7] 
 
 1,108 killed 
 5,287 wounded 
 259 missing 
 
 January 1942 – April 1942: 24,120 men [8] 
 
 
 8 May 1942 – 19 May 1942: 7,588 men [9] 
 
 1,703 killed or captured 
 5,885 wounded 
 8–12 tanks destroyed [10] [9] 3 assault guns destroyed [10] 9 artillery pieces destroyed [10] 37 aircraft destroyed [11]","570,601
 
 
 Breakdown 
 Kerch losses: 
 
 26 December – 2 January: 41,935 men [12] 
 
 32,453 killed or captured 
 9,482 wounded or sick 
 
 1 January 1942 – 30 April 1942: 352,000 men [13] [8] 
 
 
 8 May 1942 – 19 May 1942: 176,566 men [5] 
 
 162,282 killed or captured 
 14,284 wounded or sick 
 258 tanks destroyed 1,133 guns lost 417 aircraft destroyed (315 from Air Force of the Crimean Front) [11]",,,Erich von Manstein Wolfram von Richthofen,Dimitri Kozlov   Lev Mekhlis   Filipp Oktyabrsky,,"26 December 1941 – 19 May 1942(4 months, 3 weeks and 2 days)","Crimean Peninsula, Russian SFSR, Soviet Union",Axis victory,"8 May 1942: 232,549 men (2 May) [1] 200 tanks [2] 57 assault guns [3] 800+ aircraft [4] 95,000 men (2 May) [1]","8 May 1942: 249,800 men [5] 238 tanks [6] 404 aircraft (Air Force of the Crimean Front) [4]",,,,100,Battle of the Kerch Peninsula,Siege of Sevastopol (1941–1942),,https://en.wikipedia.org/wiki/Battle_of_the_Kerch_Peninsula
Germany   Romania   Italy,Soviet Union,,"June–July 1942: [3] 35,866 men 78 guns 31 aircraft [4]  27,412
 
 4,264 killed 
 21,626 wounded 
 1,522 missing 
  8,454
 
 1,597 killed 
 6,571 wounded 
 277 missing","30 October 1941 – 4 July 1942: 200,481 men [5] 
 
 156,880 killed or captured 
 43,601 wounded or sick 
 June–July 1942: 118,000 men [3] 
 
 95,000 captured (one-third wounded) 
 5,000 wounded 
 at least 18,000 killed",,,Erich von Manstein   Wolfram von Richthofen   Gheorghe Avramescu,Ivan Yefimovich Petrov   Filipp Oktyabrskiy   Gordey Levchenko     Pyotr Novikov   ( POW ),,30 October 1941 – 4 July 1942,"Sevastopol, Russian SFSR, Soviet Union44°36′17″N 33°32′28″E﻿ / ﻿44.60472°N 33.54111°E﻿ / 44.60472; 33.54111Coordinates: 44°36′17″N 33°32′28″E﻿ / ﻿44.60472°N 33.54111°E﻿ / 44.60472; 33.54111",Axis victory,"On 6 June 1942: 203,800 men 65 assault guns 1,300 guns and howitzers 720 mortars 803 aircraft [1]","June 1942: 118,000 men 600 guns and howitzers 2,000 mortars [2] 1 battleship 2 heavy cruisers 1 Light Cruiser 2 Flotilla Leaders 6 Destroyers 9 Minesweepers 1 Guardship 24 Submarines",,,,3,Siege of Sevastopol (1941–1942),Axis invasion of the Soviet Union,Battle of the Kerch Peninsula,https://en.wikipedia.org/wiki/Siege_of_Sevastopol_(1941%E2%80%931942)
Soviet Union,Germany   Romania   Slovak Republic,,"33,000 (17 November–2 December) [1]","4,316 men (11 November–30 November) [2] 
 
 733 killed 
 3,396 wounded 
 187 missing",,,Yakov Cherevichenko,Gerd von Rundstedt Walther von Reichenau Ewald von Kleist,,17 November 1941 – 2 December 1941(2 weeks and 1 day),"Rostov-on-Don region, USSR",Soviet victory,Southern Front,"Army Group South 
 
 1st Panzer Army",,,,100,Battle of Rostov,Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Battle_of_Rostov_(1941)
Germany,Soviet Union,,"German strategic offensive : (1 October 1941 to 10 January 1942) 
 October: 62,870 
 November: 46,374 
 December: 41,819 
 January: 23.131 
 
 Total : 174,194 KIA, WIA, MIA  (see  §7 ) [11]","Moscow Defense : [12]  (30 September 1941 to 5 November 1942) 
 514,338 killed or missing 
 143,941 wounded 
 
 Moscow Offensive : [12]  (5 December 1941 to 7 January 1942) 
 139,586 killed or missing 
 231,369 wounded 
 
 Total : 1,029,234 (see  § Casualties )",,,"Adolf Hitler 
 Fedor von Bock 
 Heinz Guderian 
 Erich Hoepner","Joseph Stalin 
 Georgy Zhukov 
 Aleksandr Vasilevsky 
 Ivan Konev",,2 October 1941 – 7 January 1942(3 months and 5 days),"Moscow Oblast, Russian SFSR, USSR","Soviet victory  

End of Operation Barbarossa
Beginning of Soviet counter-offensives","As of 1 October 1941: 
 1,183,693–1,929,406 men [1] [2] [3] [4] 
 1,000–2,470 tanks and assault guns [5] [6] 
 14,000 guns 
 Initial aircraft: 549 serviceable; [7] [8] [9]  at time of counter offensive: 599 [10]","As of 1 October 1941: 
 1,250,000–1,400,000 men 
 3,232 tanks 
 7,600 guns 
 Initial aircraft: 936 (545 serviceable); [7]  at time of counteroffensive: 1,376 [10]",,,,100,Battle of Moscow,Axis invasion of the Soviet Union,[1],https://en.wikipedia.org/wiki/Battle_of_Moscow
Germany   Romania   Finland   Italy   Hungary   Slovakia   Croatia,Soviet Union,,"Total military casualties: 1,000,000+
 
 
 Breakdown 
 Casualties of 1941: 
 
 According to  German Army  medical reports (including  Army Norway ): [16] 
 
 186,452 killed 
 40,157 missing 
 655,179 wounded in action [b] 
 8,000 evacuated sick 
 
 2,827 aircraft destroyed [17] 
 2,735 tanks destroyed [4] [18] 
 104 assault guns destroyed [4] [18] 
 
 Other involved country losses 
 
  114,000+ casualties (at least 39,000 dead or missing) [c] 
  8,700 casualties [d] 
  5,000+ casualties [e]","Total military casualties: 4,973,820
 
 
 Breakdown 
 Casualties of 1941: 
 
 Based on Soviet archives: [20] 
 
 566,852 killed in action 
 235,339 died from non-combat causes 
 1,336,147 sick or wounded via combat and non-combat causes 
 2,335,482 missing in action or captured 
 c. 500,000 Soviet  reservists  captured while still mobilizing 
 
 21,200 aircraft lost [17] 
 20,500 tanks destroyed [21]",,,Adolf Hitler Walther von Brauchitsch Franz Halder Fedor von Bock Gerd von Rundstedt Wilhelm Ritter von Leeb Robert Ritter von Greim Heinz Guderian Erich Von Manstein Walter Model   Ion Antonescu Petre Dumitrescu   Gustaf Mannerheim,Joseph Stalin Georgy Zhukov Aleksandr Vasilyevskiy Semyon Budyonny Kliment Voroshilov Semyon Timoshenko Markian Popov Fyodor Kuznetsov Dmitry Pavlov   Ivan Tyulenev Mikhail Kirponos   †,,"22 June – 5 December 1941(5 months, 1 week and 6 days)","Central, Northeast, and Eastern Europe","Axis failure

Opening of the Eastern Front
Axis failure to reach A-A line
Beginning of Soviet Winter counteroffensive","Frontline strength (initial) 
 
 3.8 million personnel [1] [2] 3,350–3,795 tanks [3] [1] [4] [5] 3,030–3,072 other AFVs [6] [a] 2,770–5,369 aircraft [3] [7] 7,200–23,435 artillery pieces [1] [3] [5] 17,081 mortars [5]","Frontline strength (initial) 
 
 2.6–2.9 million personnel [8] [9] [10] 11,000 tanks [11] [12] 7,133–9,100 military aircraft [13] [14] [15]",,,,1,Axis invasion of the Soviet Union,Eastern Front,June–December 1941,https://en.wikipedia.org/wiki/Operation_Barbarossa
,,,,,,,,,,,,,,,,,,100,Operation Büffel,Battles of Rzhev,,https://en.wikipedia.org/wiki/Operation_B%C3%BCffel
Soviet Union,Germany,,"2,300,000 dead, wounded, missing and captured. [3]",Unknown [4],,,Georgy Zhukov Ivan Konev Vasily Sokolovsky Dmitry Lelyushenko,Fedor von Bock Günther von Kluge Ludwig Kübler Walter Model,,8 January 1942 – 31 March 1943,"Rzhev and Velikie Luki salients, Russian SFSR56°15′00″N 34°19′00″E﻿ / ﻿56.25°N 34.316667°E﻿ / 56.25; 34.316667",StalemateThe Germans abandon the Rzhev salient,"Total : 2,100,000 Initial : 668,000 men 2,000 tanks Earmarked for Operation Jupiter : 415,000 men 1,265 tanks","Total : 1,659,000 13,000 guns and mortars 1,100 tanks  850 aircraft. [1] [2]",,,,3,Battles of Rzhev,Soviet Winter counter-offensive,Operation Büffel,https://en.wikipedia.org/wiki/Battles_of_Rzhev
Germany,Soviet Union,,"Soviet estimate: 12,000 overall [1]","10,400 killed or missing 18,810 wounded 29,200 overall [2]",,,Colonel General  Ernst Busch,General  Pavel Kurochkin,,9 January – 6 February 1942,Northwestern Russia,Soviet victory,Unknown,"122,100",,,,100,Toropets-Kholm Operation,Soviet Winter counter-offensive,,https://en.wikipedia.org/wiki/Toropets-Kholm_Operation
Germany,Soviet Union,,"11,777 killed 40,000 wounded 2,739 missing 265 aircraft destroyed Total : 55,000 [4]","88,908 killed & missing 156,603 wounded Total : 245,500 [5]",,,Walter von Brockdorff-Ahlefeldt   Walther von Seydlitz-Kurzbach,Pavel Kurochkin,,8 February – 20 May 1942,"Demyansk, Russian SSR, Soviet Union",German defensive victory[1],"100,000  (initially) [2] [3] 31,000  (reinforcements)","400,000  (initially)",,,,100,Demyansk Pocket,Soviet Winter counter-offensive,,https://en.wikipedia.org/wiki/Demyansk_Pocket
Germany   Romania   Hungary   Italy   Croatia   Slovakia,Soviet Union,,"~20,000–30,000 men [8] [9] [10] [3] 108 tanks destroyed [3] 49 aircraft destroyed [11]   12 airmen killed [11] 98 airmen missing [11]","277,190 men
 
 170,958 killed, missing or captured 
 106,232 wounded [4] [9] 
1,250 tanks destroyed [9] 1,648–2,086 guns and howitzers lost [3] 3,278 mortars lost [3] 542 aircraft destroyed [11] 57,000 horses [3]",,,Fedor von Bock   Ewald von Kleist,Semyon Timoshenko   Ivan Bagramyan,,12 May 1942 – 28 May 1942(2 weeks and 2 days),"Izium/Barvenkovo area, Kharkov Oblast, Ukrainian SSR, Soviet Union",Axis victory,"350,000 men 447 tanks [1] 40 assault guns [2] 27 tank destroyers [1] 591 aircraft [3]","12 May: 765,300 men [4] 1,176 tanks 300 self-propelled guns [5] 1,154 guns and howitzers [6] 1,700 mortars [6] 926 aircraft [7]",,,,100,Second Battle of Kharkov,Soviet Winter counter-offensive,,https://en.wikipedia.org/wiki/Second_Battle_of_Kharkov
,,,,,,,,,,,,,,,,,,1,Soviet Winter counter-offensive,Eastern Front,December 1941 – May 1942,https://en.wikipedia.org/wiki/Winter_Campaign_of_1941%E2%80%9342
,,,,,,,,,,,,,,,,,,100,Operation Kremlin,Eastern Front,,https://en.wikipedia.org/wiki/Operation_Kremlin
,,,,,,,,,,,,,,,,,,100,Operation Braunschweig,Case Blue,July–November 1942,https://en.wikipedia.org/wiki/Operation_Braunschweig
Germany   Hungary,Soviet Union,,"94,500 casualties including 19,000 KIA and MIA [1]","568,347 290,522 killed and 80,000 captured [1] 197,825 wounded [2]",,,Hermann Hoth   Gusztáv Vitéz Jány,Filipp Golikov,,28 June – 24 July 1942,"Voronezh, Soviet Union",Axis victory,"2,500,000","800,000",,,,100,Battle of Voronezh (1942),Case Blue,,https://en.wikipedia.org/wiki/Battle_of_Voronezh_(1942)
,,,,,,,,,,,,,,,,,,100,Malaya Zemlya,Battle of the Caucasus,,https://en.wikipedia.org/wiki/Malaya_Zemlya
"Germany   Romania   Slovakia   Italy 
 
 
   Chechnya-Ingushetia",Soviet Union,,"281,000 casualties
 
 
~4,300 insurgents killed","344,000 casualties",,,"Wilhelm List   Paul von Kleist   Richard Ruoff   Petre Dumitrescu 
 
 
   Hasan Israilov   †   Mairbek Sheripov   †",Semyon Budyonny   Ivan Tyulenev   Ivan Petrov   Ivan Maslennikov   Rodion Malinovsky   Filipp Oktyabrsky   Lev Vladimirsky,,25 July 1942 – 12 May 1944,"Greater Caucasus, Soviet Union",Soviet victory. Axis evacuation of the area in 1943,"July, 1942: 170,000 men 1,130 tanks 4,500 guns and mortars ~1,000 aircraft January, 1943: 764,000 men 700 tanks 5,290 guns and mortars 530 aircraft
 
 
6,500-18,000 insurgents (1943)","July, 1942: 112,000 men 121 tanks 2,160 guns and mortars 230 aircraft January, 1943: 1,000,000+ men ~1,300 tanks 11,300+ guns and mortars 900 aircraft",,,,3,Battle of the Caucasus,Case Blue,Malaya Zemlya,https://en.wikipedia.org/wiki/Battle_of_the_Caucasus
Germany   Italy   Romania   Hungary   Croatia,Soviet Union,,"647,300–768,374   Germany 300,000+ [8] [9] [10]   Italy 114,000 [11] –114,520 [12]   Romania 109,000 [11] –158,854 [12]   Hungary 105,000 [11] –143,000 [12] Hiwi  19,300–52,000 [13] 
 900 aircraft destroyed 1,500 tanks destroyed (100 Romanian) 6,000 guns destroyed 744 aircraft; 1,666 tanks; 5,762 guns captured 
See  casualties section .","1,129,619 men 478,741 killed or missing 650,878 wounded or sick [14] 
 2,769 aircraft 4,341 tanks (~150 by Romanians) (25-30% were total write-offs. [15] ) 15,728 guns 
See  casualties section .",,,Adolf Hitler   Friedrich Paulus     Walter Heitz     Erich von Manstein   W.F. von Richthofen   Italo Gariboldi   Petre Dumitrescu   C. Constantinescu   Gusztáv Jány,Joseph Stalin   Georgy Zhukov   Nikolay Voronov   A.M. Vasilevsky   Andrey Yeryomenko   K.K. Rokossovsky   Nikolai Vatutin   Vasily Chuikov,,"23 August 1942 – 2 February 1943[Note 1](5 months, 1 week and 3 days)","Stalingrad, Russian SFSR, Soviet Union48°42′N 44°31′E﻿ / ﻿48.700°N 44.517°E﻿ / 48.700; 44.517Coordinates: 48°42′N 44°31′E﻿ / ﻿48.700°N 44.517°E﻿ / 48.700; 44.517","Soviet victory[1]

Destruction of the German 6th Army","Initial : 270,000 personnel 3,000 artillery pieces 500 tanks 600 aircraft, 1,600 by mid-September ( Luftflotte 4 ) [Note 5] [2] 
 At the time of the Soviet counter-offensive : c. 1,040,000 men [3] [4] 400,000+ Germans 220,000 Italians 200,000 Hungarians 143,296 Romanians 40,000  Hiwi 10,250 artillery pieces 500 tanks (140 Romanian) 732 (402 operational) aircraft [5] : 225 [6] : 87","Initial : 187,000 personnel 2,200 artillery pieces 400 tanks 300 aircraft [2] : 72 
 At the time of the Soviet counteroffensive : 1,143,000 men [7] 13,451 artillery pieces 894 tanks [7] 1,115 [5] : 224  aircraft",,,"Expulsion of the Axis from the Caucasus, reversing their gains from the 1942 Summer Campaign",100,Battle of Stalingrad,Case Blue,[2],https://en.wikipedia.org/wiki/Battle_of_Stalingrad
"Germany 
   Romania 
   Italy 
   Hungary 
   Slovakia [1] 
   Croatia",Soviet Union,,"200,000 men [9] 700 tanks destroyed [9]  unknown  unknown","1,200,000 men [9] 4,862 tanks destroyed [9]",,,"Adolf Hitler [a] 
   Fedor von Bock 
   Maximilian von Weichs 
   Wilhelm List 
   Erich von Manstein 
   Ewald von Kleist 
   Alexander Löhr 
   W. von Richthofen 
   R. von Greim 
   Petre Dumitrescu 
   C. Constantinescu 
   Italo Gariboldi 
   Gusztáv Jány","Joseph Stalin 
   Aleksandr Vasilevsky 
   Georgy Zhukov 
   Dmitri Kozlov 
   Ivan Tyulenev 
   Semyon M. Budenny 
   Filipp Golikov 
   Rodion Malinovsky 
   Andrey Yeryomenko 
   K. Rokossovsky 
   Semyon Timoshenko",,28 June – 24 November 1942,"Voronezh, Rostov to Stalingrad, Kuban, Caucasus, Southern Russia, Soviet Union",Axis operational failure,"Initially:  1,570,287 personnel
  1,210,861 men [2]  159,426 men [2]  ~200,000 men [3] 1,934 tanks and assault guns [b] [4] [2] 1,593–2,035 aircraft [5] [2]","Totally:  2,715,000 personnel
 Initially:  1,715,000 men [6] 1,000,000 reserve 2,959–3,720 tanks [7] [6] c. 1,671 aircraft [8] 16,500 guns and mortars [6]",,,,1,Case Blue,Eastern Front,June–November 1942,https://en.wikipedia.org/wiki/Case_Blue
Soviet Union,Germany   Italy   Romania   Hungary,,Unknown,Unknown,,,Joseph Stalin   Semyon Timoshenko       Konstantin Rokossovsky   Aleksandr Vasilevsky   Nikolai Vatutin,Adolf Hitler   Friedrich Paulus   Petre Dumitrescu,,19–23 November 1942,Near Stalingrad (now Volgograd)48°42′N 44°31′E﻿ / ﻿48.700°N 44.517°E﻿ / 48.700; 44.517Coordinates: 48°42′N 44°31′E﻿ / ﻿48.700°N 44.517°E﻿ / 48.700; 44.517,Decisive Soviet victory Encirclement of Axis forces,"1,143,500 personnel (including reserve) [1]    894 tanks [1]  13,451 artillery pieces [1]    1,500 aircraft [2] 
 
and 30,000+ Cossack Cavalry forces.","German : 250,000+ personnel  (6th Army and 4th Panzer Army) unknown number of artillery pieces  732 aircraft (402 serviceable) Italian : 220,000 personnel unknown number of artillery pieces or aircraft [3] Romanian : 143,296 personnel  827 artillery pieces  134 tanks  unknown number of aircraft [3] Hungarian :   200,000 personnel unknown number of artillery pieces or tanks [4] 
 
 Total : 1,040,000 men",,,,100,Operation Uranus,Eastern Front,November 1942,https://en.wikipedia.org/wiki/Operation_Uranus
Soviet Union,Germany,,"Isayev : 70,373 irrecoverable 145,301 sanitary [2] Glantz : 100,000 killed  235,000 wounded 1,600 tanks [3]","Grossmann : 40,000 casualties [4]",,,Georgy Zhukov   Ivan Konev   Maksim Purkayev,Walter Model     Günther von Kluge,,25 November – 20 December 1942,"Rzhev and Velikie Luki salients, Russian SFSR",German victory Soviet operational failure,"702,923 personnel, 1,718 tanks [1]","3 combined corps (with 13 infantry divisions and 2 paratrooper divisions) 2 panzer corps (5 panzer divisions, 3 motorized divisions) 1,615 tanks [1] Total forces:  ~ 350,000 troops.",,,,100,Operation Mars,Eastern Front,November – December 1942,https://en.wikipedia.org/wiki/Operation_Mars
Germany   Romania [1]   Italy [2],Soviet Union,,"Soviet claims for 12,000 KIA, 5,000 POW, unknown WIA, 84 tanks, 106 guns, 300 aircraft destroyed",Unknown KIA Unknown MIA Unknown WIA up to 190 tanks,,,Hermann Balck,Vasily Badanov,,"December 16–28, 1942","Tatsinskaya, Soviet Union",Soviet strategic victory,,,,,,100,Tatsinskaya Raid,Operation Little Saturn,,https://en.wikipedia.org/wiki/Tatsinskaya_Raid
Italy   Hungary,Soviet Union,,Unknown,Unknown,,,Giulio Martinat   †   Luigi Reverberi,Fyodor Kuznetsov   Dmitri Lelyushenko,,"January 13–26, 1943 (including prelude)","Nikolayevka, Belgorod Oblast, Russian SFSR, Soviet Union",Axis breakout,"8–9,000 [ citation needed ]","6,000 infantry (plus  Soviet partisans ) [ citation needed ]",,,,100,Battle of Nikolayevka,Operation Little Saturn,,https://en.wikipedia.org/wiki/Battle_of_Nikolayevka
Germany   Italy   Hungary   Romania,Soviet Union,,,,,,Adolf Hitler   Erich von Manstein   Erhard Raus   Edwald von Kleist   Italo Gariboldi   Gusztáv Jány   Petre Dumitrescu,Joseph Stalin   Fyodor Kuznetsov   Dmitri Lelyushenko     Vasily Gerasimenko   Filipp Golikov,,12 December 1942 – 18 February 1943,Northern Caucasus and the Donets Basin,Soviet tactical victory,,,,,,1,Operation Little Saturn,Eastern Front,December 1942 – February 1943,https://en.wikipedia.org/wiki/Operation_Little_Saturn
