,address_type,agency,agency_name,bbl,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
52,,NYPD,New York City Police Department,3050440063,BROOKLYN,BROOKLYN,,09 BROOKLYN,Noise - Street/Sidewalk,2019-07-24T00:25:52.000,ROGERS AVENUE,NOSTRAND AVENUE,Loud Music/Party,,265 HAWTHORNE STREET,11225,ROGERS AVENUE,NOSTRAND AVENUE,HAWTHORNE STREET,40.65776607816228,"{'type': 'Point', 'coordinates': [-73.95160682332, 40.657766078162]}",Street/Sidewalk,-73.95160682331971,ONLINE,BROOKLYN,Unspecified,,,In Progress,HAWTHORNE STREET,,43357598,997677,178922
53,,NYPD,New York City Police Department,3077540074,BROOKLYN,BROOKLYN,2019-07-24T01:24:19.000,18 BROOKLYN,Blocked Driveway,2019-07-24T00:25:55.000,AVENUE H,AVENUE I,No Access,,1232 EAST   51 STREET,11234,AVENUE H,AVENUE I,EAST   51 STREET,40.63113427622336,"{'type': 'Point', 'coordinates': [-73.927177999691, 40.631134276223]}",Street/Sidewalk,-73.9271779996912,PHONE,BROOKLYN,Unspecified,2019-07-24T05:24:25.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,EAST   51 STREET,,43355990,1004463,169224
54,,NYPD,New York City Police Department,5003500012,STATEN ISLAND,STATEN ISLAND,,01 STATEN ISLAND,Noise - Residential,2019-07-24T00:25:57.000,WINTHROP PLACE,MANOR ROAD,Loud Talking,,1757 VICTORY BOULEVARD,10314,WINTHROP PLACE,MANOR ROAD,VICTORY BOULEVARD,40.613114014177505,"{'type': 'Point', 'coordinates': [-74.122186077183, 40.613114014178]}",Residential Building/House,-74.12218607718252,ONLINE,STATEN ISLAND,Unspecified,2019-07-24T04:54:03.000,Your complaint has been received by the Police Department and additional information will be availab,In Progress,VICTORY BOULEVARD,,43361714,950326,162674
55,INTERSECTION,DOT,Department of Transportation,,QUEENS,,,Unspecified QUEENS,Traffic Signal Condition,2019-07-24T00:27:00.000,,,Veh Signal Lamp,N/A,,,ASTORIA BLVD SOUTH,STEINWAY ST,,,,,,UNKNOWN,QUEENS,Unspecified,,,Open,,,43357436,,
56,,NYPD,New York City Police Department,1004670025,MANHATTAN,NEW YORK,,03 MANHATTAN,Noise - Residential,2019-07-24T00:27:05.000,3 AVENUE,2 AVENUE,Loud Music/Party,,232 EAST   12 STREET,10003,3 AVENUE,2 AVENUE,EAST   12 STREET,40.73145332756381,"{'type': 'Point', 'coordinates': [-73.986956522103, 40.731453327564]}",Residential Building/House,-73.98695652210309,ONLINE,MANHATTAN,Unspecified,,,In Progress,EAST   12 STREET,,43364928,987865,205765
57,,NYPD,New York City Police Department,1019880118,MANHATTAN,NEW YORK,,09 MANHATTAN,Noise - Street/Sidewalk,2019-07-24T00:27:15.000,AMSTERDAM AVENUE,BROADWAY,Loud Music/Party,,514 WEST  136 STREET,10031,AMSTERDAM AVENUE,BROADWAY,WEST  136 STREET,40.82003081301524,"{'type': 'Point', 'coordinates': [-73.952850909447, 40.820030813015]}",Street/Sidewalk,-73.952850909447,ONLINE,MANHATTAN,Unspecified,,,In Progress,WEST  136 STREET,,43356066,997300,238040
58,,NYPD,New York City Police Department,4017820055,QUEENS,CORONA,,03 QUEENS,Blocked Driveway,2019-07-24T00:27:39.000,37 AVENUE,38 AVENUE,No Access,,37-11 112 STREET,11368,37 AVENUE,38 AVENUE,112 STREET,40.75422745598617,"{'type': 'Point', 'coordinates': [-73.855700216098, 40.754227455986]}",Street/Sidewalk,-73.85570021609838,MOBILE,QUEENS,Unspecified,,,In Progress,112 STREET,,43355301,1024229,214095
59,,NYPD,New York City Police Department,2035330004,BRONX,BRONX,,09 BRONX,Illegal Parking,2019-07-24T00:27:42.000,PUGSLEY AVENUE,OLMSTEAD AVENUE,Blocked Hydrant,,2071 CAESAR PLACE,10473,PUGSLEY AVENUE,OLMSTEAD AVENUE,CAESAR PLACE,40.81780942230775,"{'type': 'Point', 'coordinates': [-73.851490677612, 40.817809422308]}",Street/Sidewalk,-73.8514906776119,MOBILE,BRONX,Unspecified,,,In Progress,CAESAR PLACE,,43361908,1025356,237262
60,,NYPD,New York City Police Department,2028460074,BRONX,BRONX,,04 BRONX,Noise - Residential,2019-07-24T00:28:38.000,EAST  172 STREET,EAST MT EDEN AVENUE,Banging/Pounding,,1505 TOWNSEND AVENUE,10452,EAST  172 STREET,EAST MT EDEN AVENUE,TOWNSEND AVENUE,40.842340146343126,"{'type': 'Point', 'coordinates': [-73.915038111528, 40.842340146343]}",Residential Building/House,-73.91503811152762,PHONE,BRONX,Unspecified,,,In Progress,TOWNSEND AVENUE,,43356286,1007758,246176
61,,DOT,Department of Transportation,3032030001,BROOKLYN,BROOKLYN,,04 BROOKLYN,Street Condition,2019-07-24T00:29:59.000,STARR STREET,WILLOUGHBY AVENUE,"Rough, Pitted or Cracked Roads",,64 IRVING AVENUE,11237,STARR STREET,WILLOUGHBY AVENUE,IRVING AVENUE,40.70432703822901,"{'type': 'Point', 'coordinates': [-73.923729399367, 40.704327038229]}",Street,-73.92372939936729,ONLINE,BROOKLYN,Unspecified,,,In Progress,IRVING AVENUE,,43359562,1005397,195891
62,,NYPD,New York City Police Department,4014530064,QUEENS,JACKSON HEIGHTS,,03 QUEENS,Noise - Street/Sidewalk,2019-07-24T00:30:00.000,34 AVENUE,35 AVENUE,Loud Music/Party,,34-13 92 STREET,11372,34 AVENUE,35 AVENUE,92 STREET,40.754198552904455,"{'type': 'Point', 'coordinates': [-73.875634942885, 40.754198552904]}",Street/Sidewalk,-73.87563494288499,PHONE,QUEENS,Unspecified,,,In Progress,92 STREET,,43362008,1018706,214076
63,,NYPD,New York City Police Department,4039570060,QUEENS,COLLEGE POINT,,07 QUEENS,Noise - Residential,2019-07-24T00:30:23.000,6 AVENUE,7 AVENUE,Loud Music/Party,,6-11 128 STREET,11356,6 AVENUE,7 AVENUE,128 STREET,40.79129076690949,"{'type': 'Point', 'coordinates': [-73.839874167142, 40.791290766909]}",Residential Building/House,-73.83987416714183,PHONE,QUEENS,Unspecified,,,In Progress,128 STREET,,43358206,1028589,227606
64,,DOT,Department of Transportation,3032030001,BROOKLYN,BROOKLYN,,04 BROOKLYN,Sidewalk Condition,2019-07-24T00:30:34.000,STARR STREET,WILLOUGHBY AVENUE,Broken Sidewalk,,64 IRVING AVENUE,11237,STARR STREET,WILLOUGHBY AVENUE,IRVING AVENUE,40.70432703822901,"{'type': 'Point', 'coordinates': [-73.923729399367, 40.704327038229]}",Sidewalk,-73.92372939936729,MOBILE,BROOKLYN,Unspecified,,,In Progress,IRVING AVENUE,,43356649,1005397,195891
65,,DOT,Department of Transportation,3032030001,BROOKLYN,BROOKLYN,,04 BROOKLYN,Curb Condition,2019-07-24T00:30:50.000,STARR STREET,WILLOUGHBY AVENUE,Broken Curb,,64 IRVING AVENUE,11237,STARR STREET,WILLOUGHBY AVENUE,IRVING AVENUE,40.70432703822901,"{'type': 'Point', 'coordinates': [-73.923729399367, 40.704327038229]}",Sidewalk,-73.92372939936729,MOBILE,BROOKLYN,Unspecified,,,In Progress,IRVING AVENUE,,43358222,1005397,195891
66,,NYPD,New York City Police Department,3050470029,BROOKLYN,BROOKLYN,,09 BROOKLYN,Blocked Driveway,2019-07-24T00:31:16.000,ROGERS AVENUE,NOSTRAND AVENUE,No Access,,270 HAWTHORNE STREET,11225,ROGERS AVENUE,NOSTRAND AVENUE,HAWTHORNE STREET,40.65775505957868,"{'type': 'Point', 'coordinates': [-73.951513122926, 40.657755059579]}",Street/Sidewalk,-73.9515131229257,ONLINE,BROOKLYN,Unspecified,,,In Progress,HAWTHORNE STREET,,43362499,997703,178918
67,ADDRESS,DHS,Department of Homeless Services,3032030001,BROOKLYN,BROOKLYN,2019-07-24T02:04:43.000,04 BROOKLYN,Homeless Person Assistance,2019-07-24T00:31:27.000,STARR STREET,WILLOUGHBY AVENUE,N/A,,64 IRVING AVENUE,11237,STARR STREET,WILLOUGHBY AVENUE,IRVING AVENUE,40.70432703822901,"{'type': 'Point', 'coordinates': [-73.923729399367, 40.704327038229]}",N/A,-73.92372939936729,MOBILE,BROOKLYN,N/A,2019-07-24T02:04:43.000,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",Closed,IRVING AVENUE,,43364890,1005397,195891
68,,NYPD,New York City Police Department,4110240001,QUEENS,CAMBRIA HEIGHTS,2019-07-24T01:53:12.000,12 QUEENS,Noise - Residential,2019-07-24T00:31:33.000,114 DRIVE,115 AVENUE,Loud Music/Party,,114-72 FRANCIS LEWIS BOULEVARD,11411,114 DRIVE,115 AVENUE,FRANCIS LEWIS BOULEVARD,40.699926151457056,"{'type': 'Point', 'coordinates': [-73.747908935675, 40.699926151457]}",Residential Building/House,-73.74790893567476,PHONE,QUEENS,Unspecified,2019-07-24T05:53:16.000,The Police Department responded to the complaint and determined that police action was not necessary,Closed,FRANCIS LEWIS BOULEVARD,,43356993,1054150,194379
69,,NYPD,New York City Police Department,4034780014,QUEENS,RIDGEWOOD,2019-07-24T00:51:17.000,05 QUEENS,Noise - Commercial,2019-07-24T00:32:36.000,GATES AVENUE,PALMETTO STREET,Loud Music/Party,,675 WOODWARD AVENUE,11385,GATES AVENUE,PALMETTO STREET,WOODWARD AVENUE,40.7052281214301,"{'type': 'Point', 'coordinates': [-73.906232089364, 40.70522812143]}",Store/Commercial,-73.9062320893637,MOBILE,QUEENS,Unspecified,2019-07-24T04:51:22.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,WOODWARD AVENUE,,43363188,1010248,196224
70,,NYPD,New York City Police Department,2032280009,BRONX,BRONX,,05 BRONX,Noise - Street/Sidewalk,2019-07-24T00:33:16.000,WEST BURNSIDE AVENUE,WEST  179 STREET,Loud Music/Party,,1901 HENNESSY PLACE,10453,WEST BURNSIDE AVENUE,WEST  179 STREET,HENNESSY PLACE,40.85440611052071,"{'type': 'Point', 'coordinates': [-73.915358877328, 40.854406110521]}",Street/Sidewalk,-73.9153588773285,MOBILE,BRONX,Unspecified,,,In Progress,HENNESSY PLACE,,43357279,1007665,250572
71,,DOT,Department of Transportation,1021400050,MANHATTAN,NEW YORK,,12 MANHATTAN,Street Condition,2019-07-24T00:35:12.000,,CROSS BRONX EXPWY SB ET    1 A,Plate Condition - Noisy,,1051 RIVERSIDE DRIVE,10032,,CROSS BRONX EXPWY SB ET    1 A,RIVERSIDE DRIVE,40.84239904986646,"{'type': 'Point', 'coordinates': [-73.944074301961, 40.842399049866]}",Street,-73.94407430196085,ONLINE,MANHATTAN,Unspecified,,,In Progress,RIVERSIDE DRIVE,,43361666,999724,246191
72,,NYPD,New York City Police Department,2027940049,BRONX,BRONX,,04 BRONX,Noise - Commercial,2019-07-24T00:35:22.000,MORRIS AVENUE,EASTBURN AVENUE,Loud Music/Party,,176 EAST  174 STREET,10457,MORRIS AVENUE,EASTBURN AVENUE,EAST  174 STREET,40.84480301027394,"{'type': 'Point', 'coordinates': [-73.908970163449, 40.844803010274]}",Store/Commercial,-73.90897016344935,ONLINE,BRONX,Unspecified,,,In Progress,EAST  174 STREET,,43355656,1009436,247075
73,,NYPD,New York City Police Department,3082790076,BROOKLYN,BROOKLYN,2019-07-24T01:37:54.000,18 BROOKLYN,Illegal Parking,2019-07-24T00:36:42.000,AVENUE M,AVENUE N,Blocked Hydrant,,1550 EAST   96 STREET,11236,AVENUE M,AVENUE N,EAST   96 STREET,40.63544972598064,"{'type': 'Point', 'coordinates': [-73.892912692299, 40.635449725981]}",Street/Sidewalk,-73.89291269229862,MOBILE,BROOKLYN,Unspecified,2019-07-24T05:37:57.000,The Police Department issued a summons in response to the complaint.,Closed,EAST   96 STREET,,43365030,1013972,170806
74,,NYPD,New York City Police Department,3013160001,BROOKLYN,BROOKLYN,,09 BROOKLYN,Noise - Street/Sidewalk,2019-07-24T00:37:36.000,NOSTRAND AVENUE,NEW YORK AVENUE,Loud Music/Party,,307 STERLING STREET,11225,NOSTRAND AVENUE,NEW YORK AVENUE,STERLING STREET,40.663161827629956,"{'type': 'Point', 'coordinates': [-73.950460294701, 40.66316182763]}",Street/Sidewalk,-73.95046029470076,MOBILE,BROOKLYN,Unspecified,,,In Progress,STERLING STREET,,43357294,997994,180888
75,,NYPD,New York City Police Department,4010840029,QUEENS,EAST ELMHURST,,03 QUEENS,Blocked Driveway,2019-07-24T00:37:47.000,23 AVENUE,24 AVENUE,Partial Access,,23-50 91 STREET,11369,23 AVENUE,24 AVENUE,91 STREET,40.76675923790524,"{'type': 'Point', 'coordinates': [-73.878893042073, 40.766759237905]}",Street/Sidewalk,-73.87889304207316,ONLINE,QUEENS,Unspecified,,,In Progress,91 STREET,,43361556,1017797,218651
76,,NYPD,New York City Police Department,2045060040,BRONX,BRONX,2019-07-24T00:41:33.000,11 BRONX,Noise - Residential,2019-07-24T00:39:22.000,BRITTON STREET,ARNOW AVENUE,Loud Music/Party,,2851 BARKER AVENUE,10467,BRITTON STREET,ARNOW AVENUE,BARKER AVENUE,40.86716705149454,"{'type': 'Point', 'coordinates': [-73.86920497547, 40.867167051495]}",Residential Building/House,-73.86920497547023,PHONE,BRONX,Unspecified,2019-07-24T04:41:36.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,BARKER AVENUE,,43360072,1020426,255237
77,,NYPD,New York City Police Department,2028720200,BRONX,BRONX,,04 BRONX,Noise - Residential,2019-07-24T00:39:33.000,JESUP AVENUE,SHAKESPEARE AVENUE,Loud Music/Party,,65 JESUP PLACE,10452,JESUP AVENUE,SHAKESPEARE AVENUE,JESUP PLACE,40.84221221386234,"{'type': 'Point', 'coordinates': [-73.920383622338, 40.842212213862]}",Residential Building/House,-73.9203836223383,MOBILE,BRONX,Unspecified,,,In Progress,JESUP PLACE,,43363453,1006279,246128
78,,DPR,Department of Parks and Recreation,3022110047,BROOKLYN,BROOKLYN,,01 BROOKLYN,Damaged Tree,2019-07-24T00:39:34.000,BEDFORD AVENUE,LEE AVENUE,Branch Cracked and Will Fall,,137 PENN STREET,11211,BEDFORD AVENUE,LEE AVENUE,PENN STREET,40.70263179140826,"{'type': 'Point', 'coordinates': [-73.957673006635, 40.702631791408]}",Street,-73.95767300663545,PHONE,BROOKLYN,Unspecified,,,In Progress,PENN STREET,,43356259,995986,195267
79,,NYPD,New York City Police Department,3061580062,BROOKLYN,BROOKLYN,2019-07-24T01:41:32.000,11 BROOKLYN,Illegal Parking,2019-07-24T00:39:57.000,BAY RIDGE AVENUE,70 STREET,Blocked Hydrant,,6910 16 AVENUE,11204,BAY RIDGE AVENUE,70 STREET,16 AVENUE,40.619593507038005,"{'type': 'Point', 'coordinates': [-73.997420890952, 40.619593507038]}",Street/Sidewalk,-73.99742089095203,ONLINE,BROOKLYN,Unspecified,2019-07-24T05:41:35.000,The Police Department issued a summons in response to the complaint.,Closed,16 AVENUE,,43360899,984966,165011
80,,NYPD,New York City Police Department,4120150164,QUEENS,JAMAICA,,12 QUEENS,Illegal Parking,2019-07-24T00:41:37.000,FOCH BOULEVARD,119 AVENUE,Blocked Hydrant,,117-24 143 STREET,11436,FOCH BOULEVARD,119 AVENUE,143 STREET,40.67837391792168,"{'type': 'Point', 'coordinates': [-73.797862446147, 40.678373917922]}",Street/Sidewalk,-73.7978624461475,ONLINE,QUEENS,Unspecified,,,In Progress,143 STREET,,43358814,1040317,186491
81,,NYPD,New York City Police Department,4094130028,QUEENS,SOUTH RICHMOND HILL,,09 QUEENS,Illegal Parking,2019-07-24T00:41:54.000,95 AVENUE,101 AVENUE,Blocked Sidewalk,,95-50 112 STREET,11419,95 AVENUE,101 AVENUE,112 STREET,40.690427583868896,"{'type': 'Point', 'coordinates': [-73.832918934875, 40.690427583869]}",Street/Sidewalk,-73.83291893487477,ONLINE,QUEENS,Unspecified,,,In Progress,112 STREET,,43357903,1030585,190862
82,,NYPD,New York City Police Department,1021390310,MANHATTAN,NEW YORK,,12 MANHATTAN,Noise - Residential,2019-07-24T00:42:32.000,WEST  172 STREET,WEST  173 STREET,Banging/Pounding,,295 FT WASHINGTON AVENUE,10032,WEST  172 STREET,WEST  173 STREET,FT WASHINGTON AVENUE,40.84516398512291,"{'type': 'Point', 'coordinates': [-73.940613070509, 40.845163985123]}",Residential Building/House,-73.94061307050866,ONLINE,MANHATTAN,Unspecified,,,In Progress,FT WASHINGTON AVENUE,,43359543,1000681,247199
83,,NYPD,New York City Police Department,,BROOKLYN,,,02 BROOKLYN,Homeless Encampment,2019-07-24T00:42:35.000,DEKALB AVENUE,FLATBUSH AVENUE EXTENSION,N/A,,DEKALB AVENUE,11201,DEKALB AVENUE,FLATBUSH AVENUE EXTENSION,,40.68993255325202,"{'type': 'Point', 'coordinates': [-73.981472847198, 40.689932553252]}",Store/Commercial,-73.98147284719796,PHONE,BROOKLYN,Unspecified,,,In Progress,DEKALB AVENUE,,43362881,989388,190638
84,,NYPD,New York City Police Department,4016110024,QUEENS,CORONA,,04 QUEENS,Blocked Driveway,2019-07-24T00:42:37.000,97 STREET,97 PLACE,No Access,,96-30 41 AVENUE,11368,97 STREET,97 PLACE,41 AVENUE,40.747360321727434,"{'type': 'Point', 'coordinates': [-73.867307263814, 40.747360321727]}",Street/Sidewalk,-73.8673072638145,PHONE,QUEENS,Unspecified,,,In Progress,41 AVENUE,,43357271,1021017,211588
85,,NYPD,New York City Police Department,2030890049,BRONX,BRONX,,06 BRONX,Blocked Driveway,2019-07-24T00:45:05.000,EAST  183 STREET,EAST  187 STREET,Partial Access,,2333 BEAUMONT AVENUE,10458,EAST  183 STREET,EAST  187 STREET,BEAUMONT AVENUE,40.85310081053971,"{'type': 'Point', 'coordinates': [-73.885000205584, 40.85310081054]}",Street/Sidewalk,-73.88500020558389,MOBILE,BRONX,Unspecified,,,In Progress,BEAUMONT AVENUE,,43356217,1016064,250106
86,,NYPD,New York City Police Department,3049470059,BROOKLYN,BROOKLYN,,17 BROOKLYN,Blocked Driveway,2019-07-24T00:47:44.000,CLARENDON ROAD,AVENUE D,No Access,,1821 NOSTRAND AVENUE,11226,CLARENDON ROAD,AVENUE D,NOSTRAND AVENUE,40.64158151721655,"{'type': 'Point', 'coordinates': [-73.948570173398, 40.641581517217]}",Street/Sidewalk,-73.94857017339773,PHONE,BROOKLYN,Unspecified,,,In Progress,NOSTRAND AVENUE,,43358207,998523,173026
87,,NYPD,New York City Police Department,4088760006,QUEENS,WOODHAVEN,,09 QUEENS,Illegal Parking,2019-07-24T00:47:49.000,89 STREET,90 STREET,Blocked Hydrant,,89-20 PARK LANE SOUTH,11421,89 STREET,90 STREET,PARK LANE SOUTH,40.69709053328938,"{'type': 'Point', 'coordinates': [-73.856307126103, 40.697090533289]}",Street/Sidewalk,-73.85630712610279,ONLINE,QUEENS,Unspecified,,,In Progress,PARK LANE SOUTH,,43361555,1024095,193278
88,,DOHMH,Department of Health and Mental Hygiene,1010090019,MANHATTAN,NEW YORK,,05 MANHATTAN,Food Establishment,2019-07-24T00:49:34.000,AVENUE OF THE AMERICAS,6 1/2 AVENUE,Rodents/Insects/Garbage,,119 WEST   56 STREET,10019,AVENUE OF THE AMERICAS,6 1/2 AVENUE,WEST   56 STREET,40.76401850809139,"{'type': 'Point', 'coordinates': [-73.97853542441, 40.764018508091]}",Other (Explain Below),-73.97853542441007,ONLINE,MANHATTAN,Unspecified,,,In Progress,WEST   56 STREET,,43364586,990196,217630
89,ADDRESS,DOT,Department of Transportation,5022300026,STATEN ISLAND,STATEN ISLAND,,02 STATEN ISLAND,Street Light Condition,2019-07-24T00:50:00.000,ARLENE ST,SPEEDWELL AVE,Street Light Out,,69 SIDEVIEW AVENUE,10314,,,,40.60714776557805,"{'type': 'Point', 'coordinates': [-74.167221982443, 40.607147765578]}",,-74.16722198244274,UNKNOWN,STATEN ISLAND,Unspecified,,,Open,SIDEVIEW AVENUE,,43357302,937818,160521
90,,NYPD,New York City Police Department,4103520108,QUEENS,HOLLIS,,12 QUEENS,Non-Emergency Police Matter,2019-07-24T00:50:32.000,186 STREET,BEND,Trespassing,,186-02 JAMAICA AVENUE,11423,186 STREET,BEND,JAMAICA AVENUE,40.709966506342894,"{'type': 'Point', 'coordinates': [-73.772950468197, 40.709966506343]}",Store/Commercial,-73.77295046819653,PHONE,QUEENS,Unspecified,,,In Progress,JAMAICA AVENUE,,43354992,1047197,198018
91,INTERSECTION,DOT,Department of Transportation,,BRONX,,,Unspecified BRONX,Traffic Signal Condition,2019-07-24T00:51:00.000,,,Controller,N/A,,,SHERIDAN AVE,170 ST E,,,,,,UNKNOWN,BRONX,Unspecified,,,Open,,,43361617,,
92,,NYPD,New York City Police Department,1021390310,MANHATTAN,NEW YORK,,12 MANHATTAN,Noise - Residential,2019-07-24T00:51:28.000,WEST  172 STREET,WEST  173 STREET,Loud Music/Party,,295 FORT WASHINGTON AVENUE,10032,WEST  172 STREET,WEST  173 STREET,FT WASHINGTON AVENUE,40.84516398512291,"{'type': 'Point', 'coordinates': [-73.940613070509, 40.845163985123]}",Residential Building/House,-73.94061307050866,PHONE,MANHATTAN,Unspecified,,,In Progress,FORT WASHINGTON AVENUE,,43358199,1000681,247199
93,,NYPD,New York City Police Department,4068280015,QUEENS,FRESH MEADOWS,,08 QUEENS,Noise - Vehicle,2019-07-24T00:51:49.000,PARSONS BOULEVARD,160 STREET,Car/Truck Horn,,158-33 78 AVENUE,11366,PARSONS BOULEVARD,160 STREET,78 AVENUE,40.72238703289527,"{'type': 'Point', 'coordinates': [-73.809526041818, 40.722387032895]}",Street/Sidewalk,-73.8095260418184,ONLINE,QUEENS,Unspecified,2019-07-24T05:04:11.000,Your complaint has been received by the Police Department and additional information will be availab,In Progress,78 AVENUE,,43356870,1037047,202519
94,,NYPD,New York City Police Department,,QUEENS,,2019-07-24T01:46:11.000,10 QUEENS,Blocked Driveway,2019-07-24T00:52:40.000,113 STREET,LIBERTY AVENUE,No Access,,113 STREET,11419,113 STREET,LIBERTY AVENUE,,40.68539956933526,"{'type': 'Point', 'coordinates': [-73.829459273902, 40.685399569335]}",Street/Sidewalk,-73.82945927390192,PHONE,QUEENS,Unspecified,2019-07-24T05:46:18.000,The Police Department responded to the complaint and determined that police action was not necessary,Closed,113 STREET,,43363899,1031548,189032
95,,DPR,Department of Parks and Recreation,,BROOKLYN,,,17 BROOKLYN,Damaged Tree,2019-07-24T00:54:22.000,EAST   54 STREET,LENOX ROAD,Entire Tree Has Fallen Down,,EAST   54 STREET,11203,EAST   54 STREET,LENOX ROAD,,40.65557641052758,"{'type': 'Point', 'coordinates': [-73.926888223412, 40.655576410528]}",Street,-73.9268882234122,PHONE,BROOKLYN,Unspecified,,,In Progress,EAST   54 STREET,,43359901,1004536,178129
96,,NYPD,New York City Police Department,,BRONX,,,01 BRONX,Noise - Street/Sidewalk,2019-07-24T00:54:36.000,EAST  154 STREET,MELROSE AVENUE,Loud Music/Party,,EAST  154 STREET,10455,EAST  154 STREET,MELROSE AVENUE,,40.81952693219714,"{'type': 'Point', 'coordinates': [-73.916201698089, 40.819526932197]}",Street/Sidewalk,-73.916201698089,PHONE,BRONX,Unspecified,,,In Progress,EAST  154 STREET,,43355302,1007444,237864
97,,NYPD,New York City Police Department,3007590012,BROOKLYN,BROOKLYN,2019-07-24T01:47:54.000,07 BROOKLYN,Noise - Residential,2019-07-24T00:55:03.000,7 AVENUE,8 AVENUE,Loud Music/Party,,714 46 STREET,11220,7 AVENUE,8 AVENUE,46 STREET,40.64434874183544,"{'type': 'Point', 'coordinates': [-74.003037703315, 40.644348741835]}",Residential Building/House,-74.00303770331476,MOBILE,BROOKLYN,Unspecified,2019-07-24T05:47:58.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,46 STREET,,43364384,983407,174030
98,,DOHMH,Department of Health and Mental Hygiene,1010090019,MANHATTAN,NEW YORK,,05 MANHATTAN,Food Establishment,2019-07-24T00:56:30.000,AVENUE OF THE AMERICAS,6 1/2 AVENUE,Rodents/Insects/Garbage,,118 WEST   57 STREET,10019,AVENUE OF THE AMERICAS,6 1/2 AVENUE,WEST   57 STREET,40.76466342784937,"{'type': 'Point', 'coordinates': [-73.978033433021, 40.764663427849]}",Restaurant/Bar/Deli/Bakery,-73.97803343302087,ONLINE,MANHATTAN,Unspecified,,,In Progress,WEST   57 STREET,,43364587,990335,217865
99,,NYPD,New York City Police Department,4012020021,QUEENS,WOODSIDE,,02 QUEENS,Homeless Encampment,2019-07-24T00:57:39.000,64 STREET,65 STREET,N/A,,64-20 35 AVENUE,11377,64 STREET,65 STREET,35 AVENUE,40.75033979232645,"{'type': 'Point', 'coordinates': [-73.898383591564, 40.750339792326]}",Street/Sidewalk,-73.8983835915638,ONLINE,QUEENS,Unspecified,,,In Progress,35 AVENUE,,43364984,1012405,212662
100,,NYPD,New York City Police Department,3033830036,BROOKLYN,BROOKLYN,2019-07-24T01:52:57.000,04 BROOKLYN,Blocked Driveway,2019-07-24T00:58:06.000,CORNELIA STREET,JEFFERSON AVENUE,Partial Access,,448 WILSON AVENUE,11221,CORNELIA STREET,JEFFERSON AVENUE,WILSON AVENUE,40.693139572178815,"{'type': 'Point', 'coordinates': [-73.91245155264, 40.693139572179]}",Street/Sidewalk,-73.9124515526404,PHONE,BROOKLYN,Unspecified,2019-07-24T05:52:59.000,The Police Department issued a summons in response to the complaint.,Closed,WILSON AVENUE,,43357249,1008528,191818
101,,NYPD,New York City Police Department,,BRONX,BRONX,,08 BRONX,Noise - Street/Sidewalk,2019-07-24T00:58:14.000,STRONG STREET,WEST  197 STREET,Loud Music/Party,,2796 UNIVERSITY AVENUE,10468,STRONG STREET,WEST  197 STREET,UNIVERSITY AVENUE,40.871509083463934,"{'type': 'Point', 'coordinates': [-73.899214450749, 40.871509083464]}",Street/Sidewalk,-73.89921445074862,PHONE,BRONX,Unspecified,,,In Progress,UNIVERSITY AVENUE,,43361982,1012124,256808
102,,NYPD,New York City Police Department,3037890011,BROOKLYN,BROOKLYN,2019-07-24T01:43:01.000,05 BROOKLYN,Blocked Driveway,2019-07-24T01:00:26.000,BLAKE AVENUE,DUMONT AVENUE,No Access,,421 PENNSYLVANIA AVENUE,11207,BLAKE AVENUE,DUMONT AVENUE,PENNSYLVANIA AVENUE,40.667049262958095,"{'type': 'Point', 'coordinates': [-73.894621040254, 40.667049262958]}",Street/Sidewalk,-73.89462104025431,PHONE,BROOKLYN,Unspecified,2019-07-24T05:43:03.000,The Police Department issued a summons in response to the complaint.,Closed,PENNSYLVANIA AVENUE,,43358863,1013484,182318
103,,NYPD,New York City Police Department,1019330050,MANHATTAN,NEW YORK,,10 MANHATTAN,Noise - Street/Sidewalk,2019-07-24T01:01:03.000,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,Loud Music/Party,,200 WEST  131 STREET,10027,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,WEST  131 STREET,40.81281181632886,"{'type': 'Point', 'coordinates': [-73.945739269275, 40.812811816329]}",Street/Sidewalk,-73.94573926927536,MOBILE,MANHATTAN,Unspecified,,,In Progress,WEST  131 STREET,,43363556,999270,235411
