,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
45,ADDRESS,NYPD,New York City Police Department,1014370032,MANHATTAN,,,,NEW YORK,2019-06-14T01:14:09.000,08 MANHATTAN,Noise - Street/Sidewalk,2019-06-14T00:14:29.000,ED KOCH QUEENSBORO BRIDGE EXIT,1 AVENUE,Loud Music/Party,2019-06-14T08:14:29.000,Precinct,340 EAST 63 STREET,10065,,,,40.76250982641631,"{'type': 'Point', 'coordinates': [-73.961114837507, 40.762509826416]}",Street/Sidewalk,-73.96111483750735,MOBILE,MANHATTAN,Unspecified,2019-06-14T01:14:09.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,EAST 63 STREET,,42964679,995022,217082
46,ADDRESS,NYPD,New York City Police Department,3030790018,BROOKLYN,,,,BROOKLYN,2019-06-14T01:20:17.000,01 BROOKLYN,Noise - Street/Sidewalk,2019-06-14T00:14:32.000,MANHATTAN AVENUE,GRAHAM AVENUE,Loud Music/Party,2019-06-14T08:14:32.000,Precinct,136 BOERUM STREET,11206,,,,40.7058398023808,"{'type': 'Point', 'coordinates': [-73.943449481403, 40.705839802381]}",Street/Sidewalk,-73.94344948140332,MOBILE,BROOKLYN,Unspecified,2019-06-14T01:20:17.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,BOERUM STREET,,42955476,999929,196438
47,ADDRESS,NYPD,New York City Police Department,3009390020,BROOKLYN,,,,BROOKLYN,2019-06-14T01:55:58.000,06 BROOKLYN,Noise - Street/Sidewalk,2019-06-14T00:15:17.000,6 AVENUE,FLATBUSH AVENUE,Loud Talking,2019-06-14T08:15:17.000,Precinct,98 PROSPECT PLACE,11217,,,,40.678957591965194,"{'type': 'Point', 'coordinates': [-73.974366216642, 40.678957591965]}",Street/Sidewalk,-73.97436621664218,ONLINE,BROOKLYN,Unspecified,2019-06-14T01:55:58.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,PROSPECT PLACE,,42958056,991360,186640
48,ADDRESS,NYPD,New York City Police Department,1021700105,MANHATTAN,,,,NEW YORK,2019-06-14T02:08:09.000,12 MANHATTAN,Noise - Street/Sidewalk,2019-06-14T00:15:22.000,BROADWAY,BOGARDUS PLACE,Loud Music/Party,2019-06-14T08:15:22.000,Precinct,11 HILLSIDE AVENUE,10040,,,,40.85899730236819,"{'type': 'Point', 'coordinates': [-73.930782175149, 40.858997302368]}",Street/Sidewalk,-73.9307821751493,ONLINE,MANHATTAN,Unspecified,2019-06-14T02:08:09.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,HILLSIDE AVENUE,,42964682,1003397,252241
49,ADDRESS,NYPD,New York City Police Department,3062060050,BROOKLYN,,,,BROOKLYN,2019-06-14T00:52:37.000,11 BROOKLYN,Illegal Parking,2019-06-14T00:15:51.000,19 AVENUE,20 AVENUE,Blocked Hydrant,2019-06-14T08:15:51.000,Precinct,1961 74 STREET,11204,,,,40.61201214353711,"{'type': 'Point', 'coordinates': [-73.992061856439, 40.612012143537]}",Street/Sidewalk,-73.99206185643911,ONLINE,BROOKLYN,Unspecified,2019-06-14T00:52:37.000,The Police Department issued a summons in response to the complaint.,,Closed,74 STREET,,42962724,986454,162249
50,ADDRESS,DOT,Department of Transportation,4090140001,QUEENS,,,,Ozone Park,,09 QUEENS,Street Light Condition,2019-06-14T00:16:00.000,95 AVE,ATLANTIC AVE,Street Light Out,,N/A,94-13 83 STREET,11416,,,,40.68513368341618,"{'type': 'Point', 'coordinates': [-73.858020337156, 40.685133683416]}",,-73.85802033715616,UNKNOWN,QUEENS,Unspecified,,,,Open,83 STREET,,42960411,1023627,188921
51,ADDRESS,NYPD,New York City Police Department,3050470020,BROOKLYN,,,,BROOKLYN,2019-06-14T02:18:27.000,09 BROOKLYN,Noise - Vehicle,2019-06-14T00:16:05.000,ROGERS AVENUE,NOSTRAND AVENUE,Car/Truck Music,2019-06-14T08:16:05.000,Precinct,250 HAWTHORNE STREET,11225,,,,40.65772780833192,"{'type': 'Point', 'coordinates': [-73.951981684476, 40.657727808332]}",Street/Sidewalk,-73.95198168447644,PHONE,BROOKLYN,Unspecified,2019-06-14T02:18:27.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,HAWTHORNE STREET,,42963336,997573,178908
52,ADDRESS,NYPD,New York City Police Department,2028260070,BRONX,,,,BRONX,,05 BRONX,Blocked Driveway,2019-06-14T00:16:15.000,WALTON AVENUE,BEND,No Access,2019-06-14T08:16:15.000,Precinct,107 EAST 175 STREET,10453,,,,40.84688186389891,"{'type': 'Point', 'coordinates': [-73.910387784585, 40.846881863899]}",Street/Sidewalk,-73.91038778458528,MOBILE,BRONX,Unspecified,2019-06-14T01:11:05.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,EAST 175 STREET,,42957747,1009043,247832
53,INTERSECTION,NYPD,New York City Police Department,,QUEENS,,,,ASTORIA,,01 QUEENS,Noise - Residential,2019-06-14T00:16:36.000,,,Loud Music/Party,2019-06-14T08:16:36.000,Precinct,,11106,35 AVENUE,21 STREET,,40.761356457382036,"{'type': 'Point', 'coordinates': [-73.935388645429, 40.761356457382]}",Residential Building/House,-73.9353886454295,PHONE,QUEENS,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,,,42963302,1002149,216666
54,ADDRESS,NYPD,New York City Police Department,1021110083,MANHATTAN,,,,NEW YORK,,12 MANHATTAN,Noise - Commercial,2019-06-14T00:17:07.000,WEST 166 STREET,WEST 167 STREET,Loud Music/Party,2019-06-14T08:17:07.000,Precinct,2145 AMSTERDAM AVENUE,10032,,,,40.8388111804014,"{'type': 'Point', 'coordinates': [-73.937676963567, 40.838811180401]}",Club/Bar/Restaurant,-73.93767696356736,ONLINE,MANHATTAN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,AMSTERDAM AVENUE,,42956588,1001495,244885
55,ADDRESS,NYPD,New York City Police Department,2028790184,BRONX,,,,BRONX,,05 BRONX,Noise - Street/Sidewalk,2019-06-14T00:17:17.000,PHELAN PLACE,OSBORNE PLACE,Loud Music/Party,2019-06-14T08:17:17.000,Precinct,172 WEST BURNSIDE AVENUE,10453,,,,40.854304805387194,"{'type': 'Point', 'coordinates': [-73.915698799365, 40.854304805387]}",Street/Sidewalk,-73.9156987993653,MOBILE,BRONX,Unspecified,2019-06-14T01:14:10.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,WEST BURNSIDE AVENUE,,42957840,1007571,250535
56,ADDRESS,NYPD,New York City Police Department,3058910034,BROOKLYN,,,,BROOKLYN,,10 BROOKLYN,Blocked Driveway,2019-06-14T00:17:48.000,3 AVENUE,4 AVENUE,No Access,2019-06-14T08:17:48.000,Precinct,344 OVINGTON AVENUE,11209,,,,40.63423975511918,"{'type': 'Point', 'coordinates': [-74.025029333926, 40.634239755119]}",Street/Sidewalk,-74.02502933392583,ONLINE,BROOKLYN,Unspecified,,"Your complaint has been forwarded to the New York Police Department for a non-emergency response. If the police determine the vehicle is illegally parked, they will ticket the vehicle and then you may either contact a private towing company to remove the vehicle or ask your local precinct to contact 'rotation tow'. Any fees charged for towing will have to be paid by the vehicle owner. 311 will have additional information in 8 hours. Please note your service request number for future reference.",,Open,OVINGTON AVENUE,,42964113,977303,170348
57,ADDRESS,NYPD,New York City Police Department,2027540049,BRONX,,,,BRONX,,03 BRONX,Noise - Residential,2019-06-14T00:19:05.000,EAST 167 STREET,HOME STREET,Loud Music/Party,2019-06-14T08:19:05.000,Precinct,1137 LONGFELLOW AVENUE,10459,,,,40.827314408826744,"{'type': 'Point', 'coordinates': [-73.887949910216, 40.827314408827]}",Residential Building/House,-73.88794991021602,PHONE,BRONX,Unspecified,2019-06-14T00:28:08.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,LONGFELLOW AVENUE,,42958037,1015260,240710
58,ADDRESS,NYPD,New York City Police Department,2041750041,BRONX,,,,BRONX,,10 BRONX,Noise - Residential,2019-06-14T00:19:57.000,MIDDLETOWN ROAD,BUHRE AVENUE,Banging/Pounding,2019-06-14T08:19:57.000,Precinct,1716 HOBART AVENUE,10461,,,,40.84608955322635,"{'type': 'Point', 'coordinates': [-73.830540049027, 40.846089553226]}",Residential Building/House,-73.83054004902674,PHONE,BRONX,Unspecified,2019-06-14T00:53:37.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,HOBART AVENUE,,42956755,1031135,247576
59,ADDRESS,NYPD,New York City Police Department,3051690059,BROOKLYN,,,,BROOKLYN,2019-06-14T02:33:47.000,17 BROOKLYN,Noise - Street/Sidewalk,2019-06-14T00:20:26.000,EAST 25 STREET,EAST 26 STREET,Loud Talking,2019-06-14T08:20:26.000,Precinct,2502 CORTELYOU ROAD,11226,,,,40.64422685979096,"{'type': 'Point', 'coordinates': [-73.953537275418, 40.644226859791]}",Street/Sidewalk,-73.95353727541846,MOBILE,BROOKLYN,Unspecified,2019-06-14T02:09:10.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,CORTELYOU ROAD,,42963331,997144,173989
60,ADDRESS,NYPD,New York City Police Department,1020580004,MANHATTAN,,,,NEW YORK,,09 MANHATTAN,Illegal Parking,2019-06-14T00:20:47.000,CONVENT AVENUE,AMSTERDAM AVENUE,Commercial Overnight Parking,2019-06-14T08:20:47.000,Precinct,471 WEST 141 STREET,10031,,,,40.82240599791196,"{'type': 'Point', 'coordinates': [-73.948770051895, 40.822405997912]}",Street/Sidewalk,-73.94877005189517,PHONE,MANHATTAN,Unspecified,2019-06-14T00:49:33.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,WEST 141 STREET,,42956223,998429,238906
61,ADDRESS,NYPD,New York City Police Department,4157540006,QUEENS,,,,FAR ROCKAWAY,2019-06-14T02:31:44.000,14 QUEENS,Blocked Driveway,2019-06-14T00:21:04.000,FAR ROCKAWAY BOULEVARD,DEAD END,Partial Access,2019-06-14T08:21:04.000,Precinct,6-22 GIPSON STREET,11691,,,,40.601402103561675,"{'type': 'Point', 'coordinates': [-73.759588514776, 40.601402103562]}",Street/Sidewalk,-73.75958851477613,PHONE,QUEENS,Unspecified,2019-06-14T00:40:25.000,The Police Department issued a summons in response to the complaint.,,Closed,GIPSON STREET,,42960361,1051010,158475
62,ADDRESS,NYPD,New York City Police Department,1009330025,MANHATTAN,,,,NEW YORK,,06 MANHATTAN,Noise - Street/Sidewalk,2019-06-14T00:21:12.000,MOUNT CARMEL PLACE,1 AVENUE,Loud Talking,2019-06-14T08:21:12.000,Precinct,344 EAST 28 STREET,10016,,,,40.740295354643706,"{'type': 'Point', 'coordinates': [-73.976951659804, 40.740295354644]}",Street/Sidewalk,-73.97695165980414,ONLINE,MANHATTAN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,EAST 28 STREET,,42956590,990637,208987
63,ADDRESS,NYPD,New York City Police Department,3050260095,BROOKLYN,,,,BROOKLYN,,09 BROOKLYN,Noise - Street/Sidewalk,2019-06-14T00:23:16.000,DEAD END,FLATBUSH AVENUE,Loud Music/Party,2019-06-14T08:23:16.000,Precinct,2116A BEEKMAN PLACE,11225,,,,40.66000659902708,"{'type': 'Point', 'coordinates': [-73.960871828263, 40.660006599027]}",Street/Sidewalk,-73.96087182826301,MOBILE,BROOKLYN,Unspecified,2019-06-14T01:23:22.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Assigned,BEEKMAN PLACE,,42964440,995106,179737
64,ADDRESS,NYPD,New York City Police Department,2025110068,BRONX,,,,BRONX,,04 BRONX,Noise - Residential,2019-06-14T00:23:43.000,WEST 162 STREET,WEST 163 STREET,Loud Talking,2019-06-14T08:23:43.000,Precinct,963 WOODYCREST AVENUE,10452,,,,40.831669762919574,"{'type': 'Point', 'coordinates': [-73.928754471984, 40.83166976292]}",Residential Building/House,-73.9287544719845,PHONE,BRONX,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,WOODYCREST AVENUE,,42964447,1003966,242285
65,INTERSECTION,NYPD,New York City Police Department,,QUEENS,,,,ROCKAWAY PARK,2019-06-14T02:41:54.000,14 QUEENS,Noise - Commercial,2019-06-14T00:24:22.000,,,Loud Music/Party,2019-06-14T08:24:22.000,Precinct,,11694,ROCKAWAY BEACH BOULEVARD,BEACH  102 STREET,,40.58388195482689,"{'type': 'Point', 'coordinates': [-73.823043760409, 40.583881954827]}",Club/Bar/Restaurant,-73.82304376040885,PHONE,QUEENS,Unspecified,2019-06-14T00:38:23.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,,,42956739,1033402,152050
66,,HRA,HRA Benefit Card Replacement,,Unspecified,,,,,2019-06-14T00:24:59.000,0 Unspecified,Benefit Card Replacement,2019-06-14T00:24:54.000,,,Medicaid,,N/A,,,,,,,,NYC Street Address,,ONLINE,Unspecified,Unspecified,,"The Human Resources Administration received your request. If you are eligible for a benefit card replacement, you will receive it in 7 to 10 business days. No further updates will be available by calling 311 or on 311 Online.",,Closed,,,42958559,,
67,ADDRESS,NYPD,New York City Police Department,4008940002,QUEENS,,,,ASTORIA,,01 QUEENS,Noise - Residential,2019-06-14T00:25:36.000,20 AVENUE,20 ROAD,Loud Television,2019-06-14T08:25:36.000,Precinct,20-15 18 STREET,11105,,,,40.78521961650043,"{'type': 'Point', 'coordinates': [-73.914876281276, 40.7852196165]}",Residential Building/House,-73.9148762812761,PHONE,QUEENS,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,18 STREET,,42964416,1007823,225365
68,ADDRESS,NYPD,New York City Police Department,,QUEENS,,,,JAMAICA,2019-06-14T02:29:40.000,08 QUEENS,Noise - Vehicle,2019-06-14T00:25:41.000,GOETHALS AVENUE,82 ROAD,Car/Truck Horn,2019-06-14T08:25:41.000,Precinct,82-16 164 STREET,11432,,,,40.71871595041182,"{'type': 'Point', 'coordinates': [-73.803829510188, 40.718715950412]}",Street/Sidewalk,-73.80382951018838,ONLINE,QUEENS,Unspecified,2019-06-14T00:42:28.000,The Police Department responded to the complaint and determined that police action was not necessary.,,Closed,164 STREET,,42956311,1038629,201185
69,ADDRESS,NYPD,New York City Police Department,4068280015,QUEENS,,,,FRESH MEADOWS,2019-06-14T02:13:18.000,08 QUEENS,Noise - Vehicle,2019-06-14T00:26:33.000,PARSONS BOULEVARD,160 STREET,Car/Truck Horn,2019-06-14T08:26:33.000,Precinct,158-33 78 AVENUE,11366,,,,40.72238703289527,"{'type': 'Point', 'coordinates': [-73.809526041818, 40.722387032895]}",Street/Sidewalk,-73.8095260418184,ONLINE,QUEENS,Unspecified,2019-06-14T02:13:18.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,78 AVENUE,,42956312,1037047,202519
70,ADDRESS,NYPD,New York City Police Department,1019170061,MANHATTAN,,,,NEW YORK,2019-06-14T02:44:57.000,10 MANHATTAN,Noise - Residential,2019-06-14T00:26:51.000,LENOX AVENUE,7 AVENUE,Loud Music/Party,2019-06-14T08:26:51.000,Precinct,172 WEST 133 STREET,10030,,,,40.813757947349714,"{'type': 'Point', 'coordinates': [-73.944069468776, 40.81375794735]}",Residential Building/House,-73.94406946877558,ONLINE,MANHATTAN,Unspecified,2019-06-14T00:52:37.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,WEST 133 STREET,,42962815,999732,235756
71,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,,,,NEW YORK,,06 MANHATTAN,Traffic,2019-06-14T00:26:51.000,,,Congestion/Gridlock,2019-06-14T08:26:51.000,Precinct,,10016,2 AVENUE,EAST   36 STREET,,40.7460781227927,"{'type': 'Point', 'coordinates': [-73.974935867036, 40.746078122793]}",Street/Sidewalk,-73.97493586703608,PHONE,MANHATTAN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,,,42958713,991195,211094
72,INTERSECTION,DOT,Department of Transportation,,MANHATTAN,,,,,2019-06-14T00:55:00.000,Unspecified MANHATTAN,Traffic Signal Condition,2019-06-14T00:27:00.000,,,Controller,,N/A,,,BROADWAY,96 ST W,,,,,,UNKNOWN,MANHATTAN,Unspecified,2019-06-14T00:55:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,42959195,,
73,INTERSECTION,NYPD,New York City Police Department,,QUEENS,,,,FRESH MEADOWS,2019-06-14T02:14:19.000,08 QUEENS,Noise - Vehicle,2019-06-14T00:27:34.000,,,Car/Truck Horn,2019-06-14T08:27:34.000,Precinct,,11366,78 AVENUE,160 STREET,,40.7225572731332,"{'type': 'Point', 'coordinates': [-73.80791292173, 40.722557273133]}",Street/Sidewalk,-73.80791292173026,ONLINE,QUEENS,Unspecified,2019-06-14T02:14:19.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,,,42956310,1037494,202582
74,ADDRESS,NYPD,New York City Police Department,1004070034,MANHATTAN,,,,NEW YORK,2019-06-14T01:10:04.000,03 MANHATTAN,Noise - Residential,2019-06-14T00:27:41.000,EAST 13 STREET,EAST 14 STREET,Loud Music/Party,2019-06-14T08:27:41.000,Precinct,222 AVENUE B,10009,,,,40.72901194319542,"{'type': 'Point', 'coordinates': [-73.978348259003, 40.729011943195]}",Residential Building/House,-73.97834825900348,ONLINE,MANHATTAN,Unspecified,2019-06-14T01:10:04.000,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,,Closed,AVENUE B,,42958860,990251,204876
75,BLOCKFACE,DOT,Department of Transportation,,BROOKLYN,,,,BROOKLYN,,10 BROOKLYN,Street Condition,2019-06-14T00:27:48.000,73 STREET,74 STREET,Pothole,,N/A,13 AVENUE,11228,,,,40.62118258589491,"{'type': 'Point', 'coordinates': [-74.006512765611, 40.621182585895]}",,-74.00651276561054,UNKNOWN,BROOKLYN,Unspecified,2019-06-14T00:27:48.000,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,,Open,13 AVENUE,,42964944,982442,165590
76,ADDRESS,NYPD,New York City Police Department,5032340016,STATEN ISLAND,,,,STATEN ISLAND,2019-06-14T01:29:27.000,02 STATEN ISLAND,Illegal Parking,2019-06-14T00:27:51.000,RADCLIFF ROAD,BRIARCLIFF ROAD,Commercial Overnight Parking,2019-06-14T08:27:51.000,Precinct,606 WEST FINGERBOARD ROAD,10305,,,,40.599746881815605,"{'type': 'Point', 'coordinates': [-74.073878881825, 40.599746881816]}",Street/Sidewalk,-74.07387888182541,ONLINE,STATEN ISLAND,Unspecified,2019-06-14T01:29:27.000,The Police Department responded to the complaint and determined that police action was not necessary.,,Closed,WEST FINGERBOARD ROAD,,42964067,963734,157789
77,ADDRESS,NYPD,New York City Police Department,3023870030,BROOKLYN,,,,BROOKLYN,2019-06-14T01:45:42.000,01 BROOKLYN,Blocked Driveway,2019-06-14T00:27:55.000,KEAP STREET,GRAND STREET EXTENSION,No Access,2019-06-14T08:27:55.000,Precinct,469 GRAND STREET,11211,,,,40.711121965585015,"{'type': 'Point', 'coordinates': [-73.952238998727, 40.711121965585]}",Street/Sidewalk,-73.95223899872724,PHONE,BROOKLYN,Unspecified,2019-06-14T01:45:42.000,The Police Department issued a summons in response to the complaint.,,Closed,GRAND STREET,,42964345,997491,198361
78,ADDRESS,NYPD,New York City Police Department,1022500058,MANHATTAN,,,,NEW YORK,,12 MANHATTAN,Noise - Street/Sidewalk,2019-06-14T00:27:55.000,SEAMAN AVENUE,INDIAN ROAD,Loud Music/Party,2019-06-14T08:27:55.000,Precinct,600 WEST 218 STREET,10034,,,,40.87289918174896,"{'type': 'Point', 'coordinates': [-73.91818099611, 40.872899181749]}",Street/Sidewalk,-73.91818099611028,MOBILE,MANHATTAN,Unspecified,2019-06-14T01:12:07.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,WEST 218 STREET,,42961772,1006878,257309
79,ADDRESS,DOT,Department of Transportation,1020740001,MANHATTAN,,,,NEW YORK,,09 MANHATTAN,Street Condition,2019-06-14T00:28:06.000,WEST  142 STREET,WEST  143 STREET,Pothole,,N/A,3480 BROADWAY,10031,,,,40.824600320883576,"{'type': 'Point', 'coordinates': [-73.951770936398, 40.824600320884]}",,-73.95177093639812,UNKNOWN,MANHATTAN,Unspecified,2019-06-14T00:28:06.000,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,,Open,BROADWAY,,42963600,997598,239705
80,ADDRESS,NYPD,New York City Police Department,3066930053,BROOKLYN,,,,BROOKLYN,2019-06-14T02:06:06.000,14 BROOKLYN,Blocked Driveway,2019-06-14T00:28:24.000,GLENWOOD ROAD,AVENUE H,No Access,2019-06-14T08:28:24.000,Precinct,752 EAST 19 STREET,11230,,,,40.632124373371994,"{'type': 'Point', 'coordinates': [-73.958849000025, 40.632124373372]}",Street/Sidewalk,-73.95884900002503,PHONE,BROOKLYN,Unspecified,2019-06-14T02:06:06.000,The Police Department issued a summons in response to the complaint.,,Closed,EAST 19 STREET,,42955198,995672,169579
81,ADDRESS,DOT,Department of Transportation,3056920033,BROOKLYN,,,,BROOKLYN,,12 BROOKLYN,Curb Condition,2019-06-14T00:29:53.000,56 STREET,57 STREET,Broken Curb,2019-07-14T00:29:53.000,N/A,5606 15 AVENUE,11219,,,,40.628340899685725,"{'type': 'Point', 'coordinates': [-73.991915811086, 40.628340899686]}",Sidewalk,-73.9919158110856,PHONE,BROOKLYN,Unspecified,,The Department of Transportation requires 30 days to respond to this type of complaint.  Please note your Service Request number for future reference.,,Open,15 AVENUE,,42961543,986494,168198
82,ADDRESS,NYPD,New York City Police Department,3050440055,BROOKLYN,,,,BROOKLYN,2019-06-14T02:18:26.000,09 BROOKLYN,Noise - Street/Sidewalk,2019-06-14T00:29:54.000,ROGERS AVENUE,NOSTRAND AVENUE,Loud Music/Party,2019-06-14T08:29:54.000,Precinct,287 HAWTHORNE STREET,11225,,,,40.657798797528905,"{'type': 'Point', 'coordinates': [-73.951091403116, 40.657798797529]}",Street/Sidewalk,-73.95109140311641,MOBILE,BROOKLYN,Unspecified,2019-06-14T02:18:26.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,HAWTHORNE STREET,,42964681,997820,178934
83,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,,,,NEW YORK,2019-06-14T01:34:30.000,04 MANHATTAN,Noise - Street/Sidewalk,2019-06-14T00:30:00.000,,,Loud Talking,2019-06-14T08:30:00.000,Precinct,,10019,WEST   56 STREET,8 AVENUE,,40.766044926045275,"{'type': 'Point', 'coordinates': [-73.983364989347, 40.766044926045]}",Street/Sidewalk,-73.98336498934722,PHONE,MANHATTAN,Unspecified,2019-06-14T01:34:30.000,The Police Department responded to the complaint and determined that police action was not necessary.,,Closed,,,42958055,988858,218368
84,BLOCKFACE,NYPD,New York City Police Department,,BRONX,,,,BRONX,,04 BRONX,Noise - Vehicle,2019-06-14T00:30:21.000,WEST 167 STREET,WEST 168 STREET,Car/Truck Music,2019-06-14T08:30:21.000,Precinct,NELSON AVENUE,10452,,,,40.83749199506245,"{'type': 'Point', 'coordinates': [-73.925513790694, 40.837491995062]}",Street/Sidewalk,-73.92551379069357,PHONE,BRONX,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,NELSON AVENUE,,42956550,1004861,244407
85,ADDRESS,NYPD,New York City Police Department,3031660031,BROOKLYN,,,,BROOKLYN,,04 BROOKLYN,Noise - Commercial,2019-06-14T00:30:46.000,FLUSHING AVENUE,JEFFERSON STREET,Loud Music/Party,2019-06-14T08:30:46.000,Precinct,4 IRVING AVENUE,11237,,,,40.7055773447715,"{'type': 'Point', 'coordinates': [-73.925931696196, 40.705577344772]}",Club/Bar/Restaurant,-73.92593169619619,ONLINE,BROOKLYN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,IRVING AVENUE,,42964445,1004786,196346
86,ADDRESS,NYPD,New York City Police Department,2027110013,BRONX,,,,BRONX,,02 BRONX,Noise - Street/Sidewalk,2019-06-14T00:30:57.000,INTERVALE AVENUE,EAST 163 STREET,Loud Music/Party,2019-06-14T08:30:57.000,Precinct,936 KELLY STREET,10459,,,,40.820583572089,"{'type': 'Point', 'coordinates': [-73.895895369032, 40.820583572089]}",Street/Sidewalk,-73.89589536903216,MOBILE,BRONX,Unspecified,2019-06-14T01:14:10.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,KELLY STREET,,42959128,1013064,238255
87,ADDRESS,NYPD,New York City Police Department,4095380008,QUEENS,,,,SOUTH RICHMOND HILL,,10 QUEENS,Noise - Commercial,2019-06-14T00:30:58.000,115 STREET,116 STREET,Banging/Pounding,2019-06-14T08:30:58.000,Precinct,115-22 LIBERTY AVENUE,11419,,,,40.68576439562681,"{'type': 'Point', 'coordinates': [-73.827464394832, 40.685764395627]}",Club/Bar/Restaurant,-73.82746439483222,ONLINE,QUEENS,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,LIBERTY AVENUE,,42960414,1032101,189166
88,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,,09 BRONX,Rodent,2019-06-14T00:31:07.000,,,Rat Sighting,2019-07-14T00:31:07.000,N/A,1460 BRONX RIVER AVENUE,10472,,,,40.83496886404193,"{'type': 'Point', 'coordinates': [-73.876647596899, 40.834968864042]}",3+ Family Apt. Building,-73.87664759689885,MOBILE,BRONX,Unspecified,2019-06-14T00:34:18.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Pending,BRONX RIVER AVENUE,,42957792,1018384,243503
89,ADDRESS,NYPD,New York City Police Department,,QUEENS,,,,SOUTH RICHMOND HILL,,10 QUEENS,Blocked Driveway,2019-06-14T00:32:35.000,103 AVENUE,BEND,No Access,2019-06-14T08:32:35.000,Precinct,103-12 130 STREET,11419,,,,40.6902919682409,"{'type': 'Point', 'coordinates': [-73.815989413775, 40.690291968241]}",Street/Sidewalk,-73.81598941377533,PHONE,QUEENS,Unspecified,,"Your complaint has been forwarded to the New York Police Department for a non-emergency response. If the police determine the vehicle is illegally parked, they will ticket the vehicle and then you may either contact a private towing company to remove the vehicle or ask your local precinct to contact 'rotation tow'. Any fees charged for towing will have to be paid by the vehicle owner. 311 will have additional information in 8 hours. Please note your service request number for future reference.",,Open,130 STREET,,42956478,1035280,190822
