,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
2092,ADDRESS,HPD,Department of Housing Preservation and Development,3087690111,BROOKLYN,,,,BROOKLYN,2019-02-01T13:30:09.000,15 BROOKLYN,WATER LEAK,2019-01-18T10:34:44.000,,,SLOW LEAK,,N/A,3302 SHORE PARKWAY SR SOUTH,11235,,,40.58462642380965,"{'type': 'Point', 'coordinates': [-73.953571540136, 40.58462642381]}",RESIDENTIAL BUILDING,-73.95357154013622,ONLINE,BROOKLYN,Unspecified,2019-02-01T13:30:09.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,,Closed,SHORE PARKWAY SR SOUTH,,,41581718,,997146,152275
2093,ADDRESS,HPD,Department of Housing Preservation and Development,3087690111,BROOKLYN,,,,BROOKLYN,2019-02-01T13:30:09.000,15 BROOKLYN,PAINT/PLASTER,2019-01-18T10:34:44.000,,,CEILING,,N/A,3302 SHORE PARKWAY SR SOUTH,11235,,,40.58462642380965,"{'type': 'Point', 'coordinates': [-73.953571540136, 40.58462642381]}",RESIDENTIAL BUILDING,-73.95357154013622,ONLINE,BROOKLYN,Unspecified,2019-02-01T13:30:09.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,,Closed,SHORE PARKWAY SR SOUTH,,,41585175,,997146,152275
2094,ADDRESS,HPD,Department of Housing Preservation and Development,3087690111,BROOKLYN,,,,BROOKLYN,2019-02-01T13:30:08.000,15 BROOKLYN,UNSANITARY CONDITION,2019-01-18T10:34:44.000,,,PESTS,,N/A,3302 SHORE PARKWAY SR SOUTH,11235,,,40.58462642380965,"{'type': 'Point', 'coordinates': [-73.953571540136, 40.58462642381]}",RESIDENTIAL BUILDING,-73.95357154013622,ONLINE,BROOKLYN,Unspecified,2019-02-01T13:30:08.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,,Closed,SHORE PARKWAY SR SOUTH,,,41585886,,997146,152275
2095,ADDRESS,HPD,Department of Housing Preservation and Development,3087690111,BROOKLYN,,,,BROOKLYN,2019-02-01T13:30:08.000,15 BROOKLYN,PAINT/PLASTER,2019-01-18T10:34:44.000,,,CEILING,,N/A,3302 SHORE PARKWAY SR SOUTH,11235,,,40.58462642380965,"{'type': 'Point', 'coordinates': [-73.953571540136, 40.58462642381]}",RESIDENTIAL BUILDING,-73.95357154013622,ONLINE,BROOKLYN,Unspecified,2019-02-01T13:30:08.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,,Closed,SHORE PARKWAY SR SOUTH,,,41586546,,997146,152275
2096,ADDRESS,HPD,Department of Housing Preservation and Development,2049470042,BRONX,,,,BRONX,2019-03-07T09:21:46.000,12 BRONX,UNSANITARY CONDITION,2019-01-18T10:34:52.000,,,PESTS,,N/A,3817 DYRE AVENUE,10466,,,40.888177916413376,"{'type': 'Point', 'coordinates': [-73.831304377448, 40.888177916413]}",RESIDENTIAL BUILDING,-73.83130437744798,PHONE,BRONX,Unspecified,2019-03-07T09:21:46.000,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",,Closed,DYRE AVENUE,,,41895842,,1030894,262910
2097,ADDRESS,HPD,Department of Housing Preservation and Development,2049470042,BRONX,,,,BRONX,2019-03-07T09:21:46.000,12 BRONX,PLUMBING,2019-01-18T10:34:52.000,,,BASIN/SINK,,N/A,3817 DYRE AVENUE,10466,,,40.888177916413376,"{'type': 'Point', 'coordinates': [-73.831304377448, 40.888177916413]}",RESIDENTIAL BUILDING,-73.83130437744798,PHONE,BRONX,Unspecified,2019-03-07T09:21:46.000,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",,Closed,DYRE AVENUE,,,41899599,,1030894,262910
2098,INTERSECTION,DOT,Department of Transportation,,BRONX,,,,,2019-01-18T10:35:00.000,Unspecified BRONX,Street Light Condition,2019-01-18T10:35:00.000,,,Street Light Out,,N/A,,,SEDGWICK AVE,FORDHAM RD W,,,,,UNKNOWN,BRONX,Unspecified,2019-01-18T00:10:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,,41460525,,,
2099,ADDRESS,DSNY,Department of Sanitation,3051970026,BROOKLYN,,,,BROOKLYN,2019-01-25T12:59:00.000,14 BROOKLYN,Electronics Waste,2019-01-18T10:35:00.000,DITMAS AVENUE,NEWKIRK AVENUE,missed collection for E-waste,,N/A,560 WESTMINSTER ROAD,11230,,,40.63512131104585,"{'type': 'Point', 'coordinates': [-73.966125103076, 40.635121311046]}",Sidewalk,-73.96612510307641,PHONE,BROOKLYN,Unspecified,2019-01-25T12:59:00.000,The Department of Sanitation collected the E-waste.,,Closed,WESTMINSTER ROAD,,,41455213,,993652,170670
2100,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,,BROOKLYN,2019-01-18T10:35:00.000,12 BROOKLYN,Street Light Condition,2019-01-18T10:35:00.000,,,Street Light Cycling,,N/A,,11218,FORT HAMILTON PARKWAY,38 STREET,40.64364566268084,"{'type': 'Point', 'coordinates': [-73.989777136994, 40.643645662681]}",,-73.98977713699415,UNKNOWN,BROOKLYN,Unspecified,2019-01-17T10:35:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,,41456167,,987087,173774
2101,INTERSECTION,DOT,Department of Transportation,,BRONX,,,,BRONX,2019-01-18T10:35:00.000,05 BRONX,Street Light Condition,2019-01-18T10:35:00.000,,,Street Light Out,,N/A,,10453,UNIVERSITY AVENUE,HALL OF FAME TERRACE,40.85754168994825,"{'type': 'Point', 'coordinates': [-73.9096106575, 40.857541689948]}",,-73.90961065749995,UNKNOWN,BRONX,Unspecified,2019-01-17T23:40:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,,41458205,,1009254,251716
2102,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,,BROOKLYN,2019-01-18T10:35:00.000,07 BROOKLYN,Street Light Condition,2019-01-18T10:35:00.000,,,Street Light Lamp Dim,,N/A,,11232,3 AVENUE,34 STREET,40.65664254345917,"{'type': 'Point', 'coordinates': [-74.0052619978, 40.656642543459]}",,-74.00526199780046,UNKNOWN,BROOKLYN,Unspecified,2019-01-17T10:35:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,,41459104,,982790,178509
2103,ADDRESS,DSNY,A - Brooklyn,3059750136,BROOKLYN,,,,BROOKLYN,2019-01-19T12:00:00.000,10 BROOKLYN,Dirty Conditions,2019-01-18T10:35:00.000,PEDESTRIAN OVERPASS,82 STREET,E3A Dirty Area/Alleyway,,N/A,8121 SHORE ROAD,11209,,,40.62958306347737,"{'type': 'Point', 'coordinates': [-74.040119075917, 40.629583063477]}",Lot,-74.0401190759166,ONLINE,BROOKLYN,Unspecified,2019-01-19T12:00:00.000,The Department of Sanitation investigated this complaint and found no violation at the location.,,Closed,SHORE ROAD,,,41461288,,973114,168653
2104,ADDRESS,DSNY,Department of Sanitation,5045790020,STATEN ISLAND,,,,STATEN ISLAND,2019-01-20T00:00:00.000,03 STATEN ISLAND,Request Large Bulky Item Collection,2019-01-18T10:35:00.000,CORBIN AVENUE,GREAVES AVENUE,Request Large Bulky Item Collection,,N/A,32 JUMEL STREET,10308,,,40.560896320928855,"{'type': 'Point', 'coordinates': [-74.148298107726, 40.560896320929]}",Sidewalk,-74.14829810772575,PHONE,STATEN ISLAND,Unspecified,2019-01-20T00:00:00.000,,,Closed,JUMEL STREET,,,41461476,,943044,143661
2105,ADDRESS,DSNY,Department of Sanitation,1004050014,MANHATTAN,,,,NEW YORK,2019-01-27T00:00:00.000,03 MANHATTAN,Request Large Bulky Item Collection,2019-01-18T10:35:00.000,AVENUE A,AVENUE B,Request Large Bulky Item Collection,,N/A,512 EAST   12 STREET,10009,,,40.72884768943617,"{'type': 'Point', 'coordinates': [-73.980780113357, 40.728847689436]}",Sidewalk,-73.98078011335656,PHONE,MANHATTAN,Unspecified,2019-01-27T00:00:00.000,,,Closed,EAST   12 STREET,,,41461655,,989577,204816
2106,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,,BROOKLYN,2019-01-18T10:35:00.000,12 BROOKLYN,Street Light Condition,2019-01-18T10:35:00.000,,,Street Light Out,,N/A,,11219,13 AVENUE,45 STREET,40.637264036658976,"{'type': 'Point', 'coordinates': [-73.989788923814, 40.637264036659]}",,-73.98978892381356,UNKNOWN,BROOKLYN,Unspecified,2019-01-17T10:35:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,,41462305,,987084,171449
2107,ADDRESS,NYPD,New York City Police Department,3089320610,BROOKLYN,,,,BROOKLYN,2019-01-18T12:47:06.000,15 BROOKLYN,Illegal Parking,2019-01-18T10:35:13.000,EVERETT AVENUE,DEVON AVENUE,Blocked Sidewalk,2019-01-18T18:35:13.000,Precinct,39 BEVY COURT,11229,,,40.59317086991019,"{'type': 'Point', 'coordinates': [-73.926945748907, 40.59317086991]}",Street/Sidewalk,-73.92694574890736,PHONE,BROOKLYN,Unspecified,2019-01-18T12:47:06.000,The Police Department responded to the complaint and determined that police action was not necessary.,,Closed,BEVY COURT,,,41456911,,1004539,155393
2108,ADDRESS,DOF,External Affairs Unit,5044330039,STATEN ISLAND,,,,STATEN ISLAND,2019-02-15T10:36:37.000,03 STATEN ISLAND,DOF Property - Payment Issue,2019-01-18T10:35:15.000,KENSICO STREET,MC KINLEY AVENUE,Payment Not Posted,2019-02-12T10:36:37.000,N/A,346 THOMAS STREET,10306,,,40.56930066344575,"{'type': 'Point', 'coordinates': [-74.139753792116, 40.569300663446]}",Property Address,-74.1397537921164,PHONE,STATEN ISLAND,Unspecified,2019-02-15T10:36:37.000,See notes.,,Closed,THOMAS STREET,,,41460405,,945423,146719
2109,ADDRESS,NYPD,New York City Police Department,4024100017,QUEENS,,,,MASPETH,2019-01-18T11:44:16.000,05 QUEENS,Illegal Parking,2019-01-18T10:35:31.000,67 STREET,69 STREET,Blocked Sidewalk,2019-01-18T18:35:31.000,Precinct,66-32 52 ROAD,11378,,,40.7329099357623,"{'type': 'Point', 'coordinates': [-73.897619968214, 40.732909935762]}",Street/Sidewalk,-73.89761996821423,PHONE,QUEENS,Unspecified,2019-01-18T11:44:16.000,The Police Department issued a summons in response to the complaint.,,Closed,52 ROAD,,,41455896,,1012624,206312
2110,ADDRESS,NYPD,New York City Police Department,4089020039,QUEENS,,,,WOODHAVEN,2019-01-18T14:57:16.000,09 QUEENS,Illegal Parking,2019-01-18T10:35:34.000,88 AVENUE,90 AVENUE,Commercial Overnight Parking,2019-01-18T18:35:34.000,Precinct,88-62 77 STREET,11421,,,40.689225343919816,"{'type': 'Point', 'coordinates': [-73.864181274749, 40.68922534392]}",Street/Sidewalk,-73.86418127474892,MOBILE,QUEENS,Unspecified,2019-01-18T14:57:16.000,The Police Department responded to the complaint and determined that police action was not necessary.,,Closed,77 STREET,,,41460912,,1021916,190409
2111,ADDRESS,NYPD,New York City Police Department,4095800001,QUEENS,,,,SOUTH RICHMOND HILL,2019-01-18T11:41:05.000,10 QUEENS,Blocked Driveway,2019-01-18T10:35:43.000,126 STREET,126 STREET,No Access,2019-01-18T18:35:43.000,Precinct,126-02 LIBERTY AVENUE,11419,,,40.68843496964994,"{'type': 'Point', 'coordinates': [-73.818482564117, 40.68843496965]}",Street/Sidewalk,-73.81848256411693,PHONE,QUEENS,Unspecified,2019-01-18T11:41:05.000,The Police Department responded to the complaint and determined that police action was not necessary.,,Closed,LIBERTY AVENUE,,,41463290,,1034590,190144
2112,ADDRESS,HPD,Department of Housing Preservation and Development,3012750076,BROOKLYN,,,,BROOKLYN,2019-01-29T10:40:18.000,09 BROOKLYN,WATER LEAK,2019-01-18T10:35:45.000,,,HEAVY FLOW,,N/A,1131 PRESIDENT STREET,11225,,,40.66819395442707,"{'type': 'Point', 'coordinates': [-73.952713119945, 40.668193954427]}",RESIDENTIAL BUILDING,-73.9527131199452,PHONE,BROOKLYN,Unspecified,2019-01-29T10:40:18.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,Closed,PRESIDENT STREET,,,41556534,,997368,182721
2113,ADDRESS,DOB,Department of Buildings,3005360003,BROOKLYN,,,,BROOKLYN,2019-01-18T10:35:49.000,06 BROOKLYN,General Construction/Plumbing,2019-01-18T10:35:49.000,,,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,N/A,719 HENRY STREET,11231,,,40.6764297238011,"{'type': 'Point', 'coordinates': [-74.003107662926, 40.676429723801]}",,-74.00310766292638,UNKNOWN,BROOKLYN,Unspecified,2019-01-18T00:00:00.000,The Department of Buildings investigated this complaint and determined that no further action was necessary.,,Closed,HENRY STREET,,,41462193,,983388,185718
2114,ADDRESS,DOB,Department of Buildings,1008037501,MANHATTAN,,,,NEW YORK,2019-01-30T00:00:00.000,05 MANHATTAN,General Construction/Plumbing,2019-01-18T10:35:50.000,,,Building Shaking/Vibrating/Structural Stability,,N/A,315 7 AVENUE,10001,,,40.74708524222202,"{'type': 'Point', 'coordinates': [-73.993456881291, 40.747085242222]}",,-73.99345688129068,UNKNOWN,MANHATTAN,Unspecified,2019-01-30T00:00:00.000,The Department of Buildings investigated this complaint and determined that no further action was necessary.,,Closed,7 AVENUE,,,41459540,,986063,211460
2115,INTERSECTION,DOT,Department of Transportation,,BRONX,,,,,2019-01-18T10:36:00.000,Unspecified BRONX,Street Light Condition,2019-01-18T10:36:00.000,,,Street Light Out,,N/A,,,SEDGWICK AVE,KINGSBRIDGE RD W,,,,,UNKNOWN,BRONX,Unspecified,2019-01-18T00:50:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,,41455185,,,
2116,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,,BROOKLYN,2019-01-18T10:36:00.000,07 BROOKLYN,Street Light Condition,2019-01-18T10:36:00.000,,,Street Light Out,,N/A,,11220,8 AVENUE,50 STREET,40.641115365184575,"{'type': 'Point', 'coordinates': [-74.003711367499, 40.641115365185]}",,-74.00371136749865,UNKNOWN,BROOKLYN,Unspecified,2019-01-17T10:36:00.000,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",,Closed,,,,41460178,,983220,172852
2117,ADDRESS,DSNY,Department of Sanitation,2050000021,BRONX,,,,BRONX,2019-01-20T00:00:00.000,12 BRONX,Request Large Bulky Item Collection,2019-01-18T10:36:00.000,BEND,EAST 234 STREET,Request Large Bulky Item Collection,,N/A,1680 BUSSING AVENUE,10466,,,40.89250004526253,"{'type': 'Point', 'coordinates': [-73.852817590599, 40.892500045263]}",Sidewalk,-73.85281759059906,PHONE,BRONX,Unspecified,2019-01-20T00:00:00.000,,,Closed,BUSSING AVENUE,,,41462541,,1024943,264474
2118,ADDRESS,HPD,Department of Housing Preservation and Development,2031970001,BRONX,,,,BRONX,2019-05-09T17:55:56.000,07 BRONX,APPLIANCE,2019-01-18T10:36:11.000,,,ELECTRIC/GAS RANGE,,N/A,2280 GRAND AVENUE,10468,,,40.859341666393235,"{'type': 'Point', 'coordinates': [-73.905501463787, 40.859341666393]}",RESIDENTIAL BUILDING,-73.90550146378686,PHONE,BRONX,Unspecified,2019-05-09T17:55:56.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,Closed,GRAND AVENUE,,,42626674,,1010390,252373
2119,ADDRESS,DOB,Department of Buildings,2039350030,BRONX,,,,BRONX,2019-01-22T00:00:00.000,09 BRONX,Borough Office,2019-01-18T10:36:46.000,,,Construction Enforcement Work Order (DOB),,N/A,1344 PURDY STREET,10462,,,40.83494933939776,"{'type': 'Point', 'coordinates': [-73.852966589028, 40.834949339398]}",,-73.85296658902787,UNKNOWN,BRONX,Unspecified,2019-01-22T00:00:00.000,The Department of Buildings investigated this complaint and determined that no further action was necessary.,,Closed,PURDY STREET,,,42354227,,1024937,243506
2120,ADDRESS,HPD,Department of Housing Preservation and Development,2025220070,BRONX,,,,BRONX,2019-04-11T16:52:08.000,04 BRONX,PAINT/PLASTER,2019-01-18T10:36:47.000,,,CEILING,,N/A,1434 OGDEN AVENUE,10452,,,40.843370001565646,"{'type': 'Point', 'coordinates': [-73.923736238367, 40.843370001566]}",RESIDENTIAL BUILDING,-73.92373623836734,PHONE,BRONX,Unspecified,2019-04-11T16:52:08.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,Closed,OGDEN AVENUE,,,42198082,,1005351,246549
2121,ADDRESS,HPD,Department of Housing Preservation and Development,2025220070,BRONX,,,,BRONX,2019-04-11T16:52:08.000,04 BRONX,DOOR/WINDOW,2019-01-18T10:36:47.000,,,DOOR,,N/A,1434 OGDEN AVENUE,10452,,,40.843370001565646,"{'type': 'Point', 'coordinates': [-73.923736238367, 40.843370001566]}",RESIDENTIAL BUILDING,-73.92373623836734,PHONE,BRONX,Unspecified,2019-04-11T16:52:08.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,Closed,OGDEN AVENUE,,,42194777,,1005351,246549
2122,ADDRESS,HPD,Department of Housing Preservation and Development,2025220070,BRONX,,,,BRONX,2019-04-11T16:52:08.000,04 BRONX,PAINT/PLASTER,2019-01-18T10:36:47.000,,,WALL,,N/A,1434 OGDEN AVENUE,10452,,,40.843370001565646,"{'type': 'Point', 'coordinates': [-73.923736238367, 40.843370001566]}",RESIDENTIAL BUILDING,-73.92373623836734,PHONE,BRONX,Unspecified,2019-04-11T16:52:08.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,Closed,OGDEN AVENUE,,,42194670,,1005351,246549
2123,ADDRESS,HPD,Department of Housing Preservation and Development,2025220070,BRONX,,,,BRONX,2019-04-11T16:52:08.000,04 BRONX,PAINT/PLASTER,2019-01-18T10:36:47.000,,,WALL,,N/A,1434 OGDEN AVENUE,10452,,,40.843370001565646,"{'type': 'Point', 'coordinates': [-73.923736238367, 40.843370001566]}",RESIDENTIAL BUILDING,-73.92373623836734,PHONE,BRONX,Unspecified,2019-04-11T16:52:08.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,Closed,OGDEN AVENUE,,,42192531,,1005351,246549
2124,ADDRESS,HPD,Department of Housing Preservation and Development,4008350003,QUEENS,,,,Astoria,2019-01-19T08:17:03.000,01 QUEENS,HEAT/HOT WATER,2019-01-18T10:36:49.000,,,APARTMENT ONLY,,N/A,23-91 31 STREET,11105,,,40.77256375692183,"{'type': 'Point', 'coordinates': [-73.915044094624, 40.772563756922]}",RESIDENTIAL BUILDING,-73.91504409462388,PHONE,QUEENS,Unspecified,2019-01-19T08:17:03.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,,Closed,31 STREET,,,41467755,,1007781,220754
2125,ADDRESS,HPD,Department of Housing Preservation and Development,4008350003,QUEENS,,,,Astoria,2019-01-19T08:17:02.000,01 QUEENS,PLUMBING,2019-01-18T10:36:49.000,,,WATER SUPPLY,,N/A,23-91 31 STREET,11105,,,40.77256375692183,"{'type': 'Point', 'coordinates': [-73.915044094624, 40.772563756922]}",RESIDENTIAL BUILDING,-73.91504409462388,PHONE,QUEENS,Unspecified,2019-01-19T08:17:02.000,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,,Closed,31 STREET,,,41468138,,1007781,220754
2126,ADDRESS,HPD,Department of Housing Preservation and Development,3014840035,BROOKLYN,,,,BROOKLYN,2019-01-19T09:43:54.000,03 BROOKLYN,HEAT/HOT WATER,2019-01-18T10:36:51.000,,,ENTIRE BUILDING,,N/A,1023 PUTNAM AVENUE,11221,,,40.68747448713199,"{'type': 'Point', 'coordinates': [-73.92016814019, 40.687474487132]}",RESIDENTIAL BUILDING,-73.92016814018983,PHONE,BROOKLYN,Unspecified,2019-01-19T09:43:54.000,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,,Closed,PUTNAM AVENUE,,,41465337,,1006390,189752
2127,ADDRESS,DOB,Department of Buildings,3013680040,BROOKLYN,,,,BROOKLYN,2019-03-04T00:00:00.000,08 BROOKLYN,Elevator,2019-01-18T10:36:51.000,,,Elevator - Single Device On Property/No Alternate Service,,N/A,1534 PROSPECT PLACE,11213,,,40.6729859224145,"{'type': 'Point', 'coordinates': [-73.925913815901, 40.672985922415]}",,-73.92591381590103,UNKNOWN,BROOKLYN,Unspecified,2019-03-04T00:00:00.000,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,,Closed,PROSPECT PLACE,,,41783429,,1004801,184472
2128,ADDRESS,DOB,Department of Buildings,5022610086,STATEN ISLAND,,,,STATEN ISLAND,2019-01-29T00:00:00.000,Unspecified STATEN ISLAND,General Construction/Plumbing,2019-01-18T10:36:53.000,,,Building Permit - None,,N/A,3431 RICHMOND ROAD,10306,,,40.573137885308256,"{'type': 'Point', 'coordinates': [-74.135183120745, 40.573137885308]}",,-74.13518312074451,UNKNOWN,STATEN ISLAND,Unspecified,2019-01-29T00:00:00.000,The Department of Buildings investigated this complaint and issued a violation.,,Closed,RICHMOND ROAD,,,41455793,,946695,148115
2129,INTERSECTION,DOT,Department of Transportation,,BRONX,,,,,2019-01-18T10:37:00.000,Unspecified BRONX,Street Light Condition,2019-01-18T10:37:00.000,,,Street Light Out,,N/A,,,MOSHOLU PKWY S W,JEROME AVE,,,,,UNKNOWN,BRONX,Unspecified,2019-01-18T01:45:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,,41458193,,,
2130,INTERSECTION,DOT,Department of Transportation,,BRONX,,,,,2019-01-18T10:37:00.000,Unspecified BRONX,Street Light Condition,2019-01-18T10:37:00.000,,,Street Light Out,,N/A,,,BEDFORD PARK BLVD,GOULDEN AVE,,,,,UNKNOWN,BRONX,Unspecified,2019-01-18T01:15:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,,41455186,,,
2131,ADDRESS,DEP,Department of Environmental Protection,3007450153,BROOKLYN,,,,BROOKLYN,2019-01-18T17:05:00.000,07 BROOKLYN,Water System,2019-01-18T10:37:00.000,2 AVE,3 AVE,LOW WATER PRESSURE - WLWP,,N/A,265 46 STREET,11220,,,40.65054024974651,"{'type': 'Point', 'coordinates': [-74.013258300902, 40.650540249747]}",,-74.01325830090218,PHONE,BROOKLYN,Unspecified,2019-01-18T17:05:00.000,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",,Closed,46 STREET,,,41456598,,980571,176286
2132,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,,BROOKLYN,2019-01-18T10:37:00.000,10 BROOKLYN,Street Light Condition,2019-01-18T10:37:00.000,,,Street Light Out,,N/A,,11228,74 STREET,14 AVENUE,40.61957697518826,"{'type': 'Point', 'coordinates': [-74.004599890279, 40.619576975188]}",,-74.00459989027875,UNKNOWN,BROOKLYN,Unspecified,2019-01-17T10:37:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,,41458167,,982973,165005
2133,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,,BROOKLYN,2019-01-18T10:37:00.000,10 BROOKLYN,Street Light Condition,2019-01-18T10:37:00.000,,,Multiple Street Lights Out,,N/A,,11220,66 STREET,9 AVENUE,40.63068196563634,"{'type': 'Point', 'coordinates': [-74.010970240099, 40.630681965636]}",,-74.0109702400993,UNKNOWN,BROOKLYN,Unspecified,2019-01-17T10:37:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,,41460136,,981205,169051
2134,ADDRESS,DSNY,A - Brooklyn,3059750188,BROOKLYN,,,,BROOKLYN,2019-01-19T12:00:00.000,10 BROOKLYN,Dirty Conditions,2019-01-18T10:37:00.000,PEDESTRIAN OVERPASS,82 STREET,E3A Dirty Area/Alleyway,,N/A,8107 SHORE ROAD,11209,,,40.629637959252655,"{'type': 'Point', 'coordinates': [-74.040119108917, 40.629637959253]}",Lot,-74.04011910891651,ONLINE,BROOKLYN,Unspecified,2019-01-19T12:00:00.000,The Department of Sanitation investigated this complaint and found no violation at the location.,,Closed,SHORE ROAD,,,41460160,,973114,168673
2135,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,,BROOKLYN,2019-01-18T10:37:00.000,10 BROOKLYN,Street Light Condition,2019-01-18T10:37:00.000,,,Photocell (PEC) Missing,,N/A,,11228,79 STREET,10 AVENUE,40.62201327172777,"{'type': 'Point', 'coordinates': [-74.016404592841, 40.622013271728]}",,-74.01640459284117,UNKNOWN,BROOKLYN,Unspecified,2019-01-17T10:37:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,,41461296,,979696,165893
2136,LATLONG,DPR,Department of Parks and Recreation,,BROOKLYN,,,,BROOKLYN,2019-01-29T16:08:18.000,02 BROOKLYN,Damaged Tree,2019-01-18T10:37:28.000,,,Branch or Limb Has Fallen Down,2019-03-08T15:00:02.000,N/A,16 EVANS STREET,11201,,,40.70283278934299,"{'type': 'Point', 'coordinates': [-73.9804341663, 40.702832789343]}",,-73.9804341662999,MOBILE,BROOKLYN,Unspecified,2019-01-29T16:08:18.000,The Department of Parks and Recreation performed the work necessary to correct the condition.,,Closed,EVANS STREET,,,41456272,,989675,195338
2137,ADDRESS,HPD,Department of Housing Preservation and Development,4102040023,QUEENS,,,,Jamaica,2019-03-04T10:26:51.000,12 QUEENS,UNSANITARY CONDITION,2019-01-18T10:37:45.000,,,MOLD,,N/A,111-34 167 STREET,11433,,,40.69257500535746,"{'type': 'Point', 'coordinates': [-73.784044241273, 40.692575005357]}",RESIDENTIAL BUILDING,-73.78404424127335,PHONE,QUEENS,Unspecified,2019-03-04T10:26:51.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,Closed,167 STREET,,,41868026,,1044137,191674
2138,BLOCKFACE,DOT,Department of Transportation,,QUEENS,,,,,2019-01-22T13:13:00.000,Unspecified QUEENS,Street Light Condition,2019-01-18T10:38:00.000,31 AVE,,Fixture/Luminaire Door Open,,N/A,BKLYN QUEENS EXPY,,,,,,,,UNKNOWN,QUEENS,Unspecified,2019-01-22T13:13:00.000,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",,Closed,BKLYN QUEENS EXPY,,,41459387,,,
