,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
236,ADDRESS,NYPD,New York City Police Department,3004010001,BROOKLYN,,,,BROOKLYN,2019-01-27T00:59:03.000,06 BROOKLYN,Noise - Residential,2019-01-27T00:32:24.000,3 AVENUE,4 AVENUE,Banging/Pounding,2019-01-27T08:32:24.000,Precinct,572 WARREN STREET,11217,,,40.682022291389764,"{'type': 'Point', 'coordinates': [-73.982553083355, 40.68202229139]}",Residential Building/House,-73.98255308335538,ONLINE,BROOKLYN,Unspecified,2019-01-27T00:59:03.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,WARREN STREET,,41528663,989089,187756
237,ADDRESS,NYPD,New York City Police Department,2038010001,BRONX,,,,BRONX,2019-01-27T03:40:21.000,09 BRONX,Noise - Residential,2019-01-27T00:32:26.000,PUGSLEY AVENUE,OLMSTEAD AVENUE,Loud Music/Party,2019-01-27T08:32:26.000,Precinct,2010 POWELL AVENUE,10472,,,40.830479560431925,"{'type': 'Point', 'coordinates': [-73.85622502936, 40.830479560432]}",Residential Building/House,-73.85622502935952,ONLINE,BRONX,Unspecified,2019-01-27T03:40:21.000,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,,Closed,POWELL AVENUE,,41527346,1024038,241876
238,ADDRESS,NYPD,New York City Police Department,3087197502,BROOKLYN,,,,BROOKLYN,2019-01-27T02:38:18.000,15 BROOKLYN,Noise - Street/Sidewalk,2019-01-27T00:33:00.000,HAMPTON AVENUE,NEPTUNE COURT,Loud Music/Party,2019-01-27T08:33:00.000,Precinct,110 WEST END AVENUE,11235,,,40.578903393955045,"{'type': 'Point', 'coordinates': [-73.953283925465, 40.578903393955]}",Street/Sidewalk,-73.95328392546492,MOBILE,BROOKLYN,Unspecified,2019-01-27T02:38:18.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,WEST END AVENUE,,41529186,997227,150190
239,ADDRESS,NYPD,New York City Police Department,4017370055,QUEENS,,,,CORONA,2019-01-27T05:03:18.000,03 QUEENS,Noise - Street/Sidewalk,2019-01-27T00:33:00.000,35 AVENUE,37 AVENUE,Loud Music/Party,2019-01-27T08:33:00.000,Precinct,35-15 JUNCTION BOULEVARD,11368,,,40.753046855065314,"{'type': 'Point', 'coordinates': [-73.871630739317, 40.753046855065]}",Street/Sidewalk,-73.87163073931723,PHONE,QUEENS,Unspecified,2019-01-27T05:03:18.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,JUNCTION BOULEVARD,,41530196,1019816,213658
240,ADDRESS,NYPD,New York City Police Department,5033790096,STATEN ISLAND,,,,STATEN ISLAND,2019-01-27T03:04:44.000,02 STATEN ISLAND,Noise - Commercial,2019-01-27T00:34:09.000,GARRETSON AVENUE,SEAVIEW AVENUE,Loud Music/Party,2019-01-27T08:34:09.000,Precinct,1718 HYLAN BOULEVARD,10305,,,40.58696798379445,"{'type': 'Point', 'coordinates': [-74.091690074916, 40.586967983794]}",Club/Bar/Restaurant,-74.09169007491612,PHONE,STATEN ISLAND,Unspecified,2019-01-27T03:04:44.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,HYLAN BOULEVARD,,41525938,958783,153138
241,ADDRESS,NYPD,New York City Police Department,2038010001,BRONX,,,,BRONX,2019-01-27T03:40:22.000,09 BRONX,Noise - Residential,2019-01-27T00:34:16.000,PUGSLEY AVENUE,OLMSTEAD AVENUE,Loud Music/Party,2019-01-27T08:34:16.000,Precinct,2010 POWELL AVENUE,10472,,,40.830479560431925,"{'type': 'Point', 'coordinates': [-73.85622502936, 40.830479560432]}",Residential Building/House,-73.85622502935952,ONLINE,BRONX,Unspecified,2019-01-27T03:40:22.000,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,,Closed,POWELL AVENUE,,41529898,1024038,241876
242,ADDRESS,DFTA,Department for the Aging,3041530053,BROOKLYN,,,,BROOKLYN,2019-01-29T15:23:40.000,05 BROOKLYN,Elder Abuse,2019-01-27T00:34:25.000,,,N/A,2019-02-03T00:34:25.000,N/A,,11208,,,,,Senior Address,,PHONE,BROOKLYN,Unspecified,2019-01-29T15:23:40.000,The Department for the Aging determined that this issue is not within its jurisdiction. It has been referred to the Human Resources Administration.,,Closed,,,41524584,,
243,ADDRESS,NYPD,New York City Police Department,4016120041,QUEENS,,,,CORONA,2019-01-27T05:16:30.000,04 QUEENS,Noise - Residential,2019-01-27T00:34:45.000,JUNCTION BOULEVARD,97 PLACE,Loud Music/Party,2019-01-27T08:34:45.000,Precinct,96-25 43 AVENUE,11368,,,40.745768647427106,"{'type': 'Point', 'coordinates': [-73.867552232579, 40.745768647427]}",Residential Building/House,-73.86755223257884,PHONE,QUEENS,Unspecified,2019-01-27T05:16:30.000,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,,Closed,43 AVENUE,,41524906,1020950,211008
244,ADDRESS,NYPD,New York City Police Department,3051630041,BROOKLYN,,,,BROOKLYN,2019-01-27T02:47:26.000,14 BROOKLYN,Noise - Residential,2019-01-27T00:35:06.000,CORTELYOU ROAD,DORCHESTER ROAD,Loud Music/Party,2019-01-27T08:35:06.000,Precinct,855 OCEAN AVENUE,11226,,,40.64189877333751,"{'type': 'Point', 'coordinates': [-73.959448328458, 40.641898773338]}",Residential Building/House,-73.95944832845807,MOBILE,BROOKLYN,Unspecified,2019-01-27T02:47:26.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,OCEAN AVENUE,,41529571,995504,173140
245,ADDRESS,NYPD,New York City Police Department,3018510071,BROOKLYN,,,,BROOKLYN,2019-01-27T08:20:10.000,03 BROOKLYN,Noise - Street/Sidewalk,2019-01-27T00:35:41.000,MARCY AVENUE,TOMPKINS AVENUE,Loud Talking,2019-01-27T08:35:41.000,Precinct,5 MAC DONOUGH STREET,11216,,,40.68078940279269,"{'type': 'Point', 'coordinates': [-73.945752951075, 40.680789402793]}",Street/Sidewalk,-73.94575295107491,PHONE,BROOKLYN,Unspecified,2019-01-27T08:20:10.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,MAC DONOUGH STREET,,41525993,999296,187311
246,ADDRESS,NYPD,New York City Police Department,4096310241,QUEENS,,,,KEW GARDENS,2019-01-27T05:11:27.000,09 QUEENS,Noise - Residential,2019-01-27T00:35:56.000,KEW GARDENS ROAD,HOOVER AVENUE,Loud Music/Party,2019-01-27T08:35:56.000,Precinct,123-60 83 AVENUE,11415,,,40.711517354141726,"{'type': 'Point', 'coordinates': [-73.826640247498, 40.711517354142]}",Residential Building/House,-73.82664024749755,PHONE,QUEENS,Unspecified,2019-01-27T05:11:27.000,This complaint does not fall under the Police Department's jurisdiction.,,Closed,83 AVENUE,,41529057,1032311,198549
247,ADDRESS,HPD,Department of Housing Preservation and Development,2043220032,BRONX,,,,BRONX,2019-01-29T02:11:44.000,11 BRONX,HEAT/HOT WATER,2019-01-27T00:35:58.000,,,ENTIRE BUILDING,,N/A,2194 BARNES AVENUE,10462,,,40.85632746073826,"{'type': 'Point', 'coordinates': [-73.863800277907, 40.856327460738]}",RESIDENTIAL BUILDING,-73.86380027790659,PHONE,BRONX,Unspecified,2019-01-29T02:11:44.000,The Department of Housing Preservation and Development has closed this complaint administratively. More information can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,,Closed,BARNES AVENUE,,41554561,1021927,251290
248,ADDRESS,NYPD,New York City Police Department,3064800006,BROOKLYN,,,,BROOKLYN,2019-01-27T03:03:42.000,11 BROOKLYN,Illegal Parking,2019-01-27T00:36:27.000,BEND,BELT PARKWAY,Posted Parking Sign Violation,2019-01-27T08:36:27.000,Precinct,373 BAY 8 STREET,11228,,,40.6044902858831,"{'type': 'Point', 'coordinates': [-74.017894823777, 40.604490285883]}",Street/Sidewalk,-74.01789482377674,ONLINE,BROOKLYN,Unspecified,2019-01-27T03:03:42.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,BAY 8 STREET,,41531506,979281,159509
249,INTERSECTION,NYPD,New York City Police Department,,QUEENS,,,,ROSEDALE,2019-01-27T04:17:51.000,13 QUEENS,Noise - Residential,2019-01-27T00:36:51.000,,,Loud Music/Party,2019-01-27T08:36:51.000,Precinct,,11422,241 STREET,CANEY ROAD,40.66158660550586,"{'type': 'Point', 'coordinates': [-73.740326012416, 40.661586605506]}",Residential Building/House,-73.74032601241615,PHONE,QUEENS,Unspecified,2019-01-27T04:17:51.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,,,41529157,1056294,180417
250,ADDRESS,NYPD,New York City Police Department,2049940080,BRONX,,,,BRONX,2019-01-27T11:32:10.000,12 BRONX,Noise - Residential,2019-01-27T00:36:57.000,CARPENTER AVENUE,WHITE PLAINS ROAD,Loud Music/Party,2019-01-27T08:36:57.000,Precinct,686 EAST 234 STREET,10466,,,40.894397256010194,"{'type': 'Point', 'coordinates': [-73.857699962087, 40.89439725601]}",Residential Building/House,-73.85769996208678,PHONE,BRONX,Unspecified,2019-01-27T11:32:10.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,EAST 234 STREET,,41526568,1023592,265163
251,ADDRESS,NYPD,New York City Police Department,2031700027,BRONX,,,,BRONX,2019-01-27T07:37:43.000,05 BRONX,Noise - Residential,2019-01-27T00:37:27.000,MORRIS AVENUE,CRESTON AVENUE,Loud Music/Party,2019-01-27T08:37:27.000,Precinct,100 EAST 182 STREET,10453,,,40.856674174329235,"{'type': 'Point', 'coordinates': [-73.902631368846, 40.856674174329]}",Residential Building/House,-73.90263136884647,PHONE,BRONX,Unspecified,2019-01-27T07:37:43.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,EAST 182 STREET,,41525077,1011185,251402
252,ADDRESS,HPD,Department of Housing Preservation and Development,3016290001,BROOKLYN,,,,BROOKLYN,2019-01-28T21:39:04.000,03 BROOKLYN,HEAT/HOT WATER,2019-01-27T00:37:38.000,,,ENTIRE BUILDING,,N/A,755 GATES AVENUE,11221,,,40.68783329691167,"{'type': 'Point', 'coordinates': [-73.936595713419, 40.687833296912]}",RESIDENTIAL BUILDING,-73.93659571341877,PHONE,BROOKLYN,Unspecified,2019-01-28T21:39:04.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,Closed,GATES AVENUE,,41547997,1001834,189879
253,ADDRESS,NYPD,New York City Police Department,3013600018,BROOKLYN,,,,BROOKLYN,2019-01-27T01:55:16.000,08 BROOKLYN,Blocked Driveway,2019-01-27T00:37:44.000,SCHENECTADY AVENUE,UTICA AVENUE,No Access,2019-01-27T08:37:44.000,Precinct,1136 ST MARKS AVENUE,11213,,,40.674244345535826,"{'type': 'Point', 'coordinates': [-73.932513283682, 40.674244345536]}",Street/Sidewalk,-73.93251328368164,PHONE,BROOKLYN,Unspecified,2019-01-27T01:55:16.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,ST MARKS AVENUE,,41527370,1002970,184929
254,ADDRESS,DCA,Department of Consumer Affairs,1008830014,MANHATTAN,,,,NEW YORK,2019-02-11T01:06:39.000,05 MANHATTAN,Consumer Complaint,2019-01-27T00:38:00.000,PARK AVENUE SOUTH,LEXINGTON AVENUE,Non-Delivery of Papers,2019-02-12T16:03:21.000,N/A,118 EAST 28 STREET,10016,,,40.74292040719568,"{'type': 'Point', 'coordinates': [-73.983128975214, 40.742920407196]}",,-73.98312897521393,ONLINE,MANHATTAN,Unspecified,2019-02-11T01:06:39.000,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",,Closed,EAST 28 STREET,,41526349,988925,209943
255,ADDRESS,HPD,Department of Housing Preservation and Development,3012810011,BROOKLYN,,,,BROOKLYN,2019-01-28T16:39:41.000,09 BROOKLYN,HEAT/HOT WATER,2019-01-27T00:38:28.000,,,ENTIRE BUILDING,,N/A,1585 BEDFORD AVENUE,11225,,,40.66812388766437,"{'type': 'Point', 'coordinates': [-73.955982658787, 40.668123887664]}",RESIDENTIAL BUILDING,-73.95598265878657,PHONE,BROOKLYN,Unspecified,2019-01-28T16:39:41.000,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",,Closed,BEDFORD AVENUE,,41541887,996461,182695
256,ADDRESS,NYPD,New York City Police Department,4034520041,QUEENS,,,,RIDGEWOOD,2019-01-27T02:23:52.000,05 QUEENS,Noise - Residential,2019-01-27T00:38:30.000,CYPRESS AVENUE,SENECA AVENUE,Loud Talking,2019-01-27T08:38:30.000,Precinct,1719 GATES AVENUE,11385,,,40.702441872704426,"{'type': 'Point', 'coordinates': [-73.90926914728, 40.702441872704]}",Residential Building/House,-73.9092691472796,MOBILE,QUEENS,Unspecified,2019-01-27T02:23:52.000,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,,Closed,GATES AVENUE,,41531075,1009407,195208
257,ADDRESS,NYPD,New York City Police Department,2043440035,BRONX,,,,BRONX,2019-01-27T06:28:02.000,11 BRONX,Noise - Residential,2019-01-27T00:38:48.000,PELHAM PARKWAY,ASTOR AVENUE,Loud Music/Party,2019-01-27T08:38:48.000,Precinct,2251 HOLLAND AVENUE,10467,,,40.8587476839271,"{'type': 'Point', 'coordinates': [-73.865624544202, 40.858747683927]}",Residential Building/House,-73.86562454420242,ONLINE,BRONX,Unspecified,2019-01-27T06:28:02.000,The Police Department responded to the complaint and determined that police action was not necessary.,,Closed,HOLLAND AVENUE,,41525612,1021421,252171
258,INTERSECTION,DOT,Department of Transportation,,QUEENS,,,,,2019-01-28T10:22:00.000,Unspecified QUEENS,Street Light Condition,2019-01-27T00:39:00.000,,,Lamppost Wire Exposed,,N/A,,,159 ST,CONDUIT AVE N,,,,,UNKNOWN,QUEENS,Unspecified,2019-01-28T10:22:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,41527181,,
259,ADDRESS,NYPD,New York City Police Department,4118220041,QUEENS,,,,SOUTH OZONE PARK,2019-01-27T13:46:50.000,10 QUEENS,Illegal Parking,2019-01-27T00:39:30.000,121 STREET,122 STREET,Commercial Overnight Parking,2019-01-27T08:39:30.000,Precinct,121-20 149 AVENUE,11420,,,40.66833352118118,"{'type': 'Point', 'coordinates': [-73.819319498859, 40.668333521181]}",Street/Sidewalk,-73.81931949885865,PHONE,QUEENS,Unspecified,2019-01-27T13:46:50.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,149 AVENUE,,41525824,1034373,182820
260,ADDRESS,NYPD,New York City Police Department,2024197501,BRONX,,,,BRONX,2019-01-27T04:28:57.000,03 BRONX,Noise - Residential,2019-01-27T00:40:02.000,EAST 160 STREET,EAST 161 STREET,Loud Music/Party,2019-01-27T08:40:02.000,Precinct,855 COURTLAND AVENUE,10451,,,40.82425304617946,"{'type': 'Point', 'coordinates': [-73.9158019089, 40.824253046179]}",Residential Building/House,-73.91580190889958,PHONE,BRONX,Unspecified,2019-01-27T04:28:57.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,COURTLAND AVENUE,,41530357,1007553,239586
261,ADDRESS,NYPD,New York City Police Department,2054500031,BRONX,,,,BRONX,2019-01-27T03:12:55.000,10 BRONX,Illegal Parking,2019-01-27T00:40:15.000,LAWTON AVENUE,BEND,Commercial Overnight Parking,2019-01-27T08:40:15.000,Precinct,245 THROGGS NECK BOULEVARD,10465,,,40.8185333998848,"{'type': 'Point', 'coordinates': [-73.813293670275, 40.818533399885]}",Street/Sidewalk,-73.81329367027502,ONLINE,BRONX,Unspecified,2019-01-27T03:11:57.000,The Police Department issued a summons in response to the complaint.,,Closed,THROGGS NECK BOULEVARD,,41531096,1035928,237546
262,ADDRESS,NYPD,New York City Police Department,4007930053,QUEENS,,,,ASTORIA,2019-01-27T03:34:17.000,01 QUEENS,Blocked Driveway,2019-01-27T00:40:44.000,AMTRAK RAILROAD,41 STREET,Partial Access,2019-01-27T08:40:44.000,Precinct,40-11 23 ROAD,11105,,,40.769959832944615,"{'type': 'Point', 'coordinates': [-73.90894971701, 40.769959832945]}",Street/Sidewalk,-73.90894971700989,MOBILE,QUEENS,Unspecified,2019-01-27T03:34:17.000,The Police Department issued a summons in response to the complaint.,,Closed,23 ROAD,,41527704,1009470,219807
263,ADDRESS,NYPD,New York City Police Department,1018517501,MANHATTAN,,,,NEW YORK,2019-01-27T02:29:03.000,07 MANHATTAN,Noise - Vehicle,2019-01-27T00:41:11.000,WEST 96 STREET,WEST 97 STREET,Car/Truck Horn,2019-01-27T08:41:11.000,Precinct,750 COLUMBUS AVENUE,10025,,,40.79327748070041,"{'type': 'Point', 'coordinates': [-73.967232813957, 40.7932774807]}",Street/Sidewalk,-73.9672328139575,MOBILE,MANHATTAN,Unspecified,2019-01-27T02:29:03.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,COLUMBUS AVENUE,,41526862,993323,228291
264,ADDRESS,NYPD,New York City Police Department,3051240045,BROOKLYN,,,,BROOKLYN,2019-01-27T07:01:22.000,14 BROOKLYN,Noise - Street/Sidewalk,2019-01-27T00:41:13.000,OCEAN AVENUE,EAST 21 STREET,Loud Music/Party,2019-01-27T08:41:13.000,Precinct,2016 REGENT PLACE,11226,,,40.64587613405847,"{'type': 'Point', 'coordinates': [-73.959925180223, 40.645876134058]}",Street/Sidewalk,-73.95992518022274,MOBILE,BROOKLYN,Unspecified,2019-01-27T07:01:22.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,REGENT PLACE,,41527909,995371,174589
265,ADDRESS,NYPD,New York City Police Department,3023427501,BROOKLYN,,,,BROOKLYN,2019-01-27T01:24:39.000,01 BROOKLYN,Noise - Residential,2019-01-27T00:41:49.000,WYTHE AVENUE,BERRY STREET,Loud Music/Party,2019-01-27T08:41:49.000,Precinct,90 NORTH 5 STREET,11249,,,40.71789652735932,"{'type': 'Point', 'coordinates': [-73.960805376027, 40.717896527359]}",Residential Building/House,-73.96080537602704,ONLINE,BROOKLYN,Unspecified,2019-01-27T01:24:39.000,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,,Closed,NORTH 5 STREET,,41526503,995115,200828
266,ADDRESS,NYPD,New York City Police Department,2039640045,BRONX,,,,BRONX,2019-01-27T07:01:21.000,10 BRONX,Noise - Residential,2019-01-27T00:41:56.000,WATERBURY AVENUE,NYCTA SUBWAY,Loud Music/Party,2019-01-27T08:41:56.000,Precinct,2265 WESTCHESTER AVENUE,10462,,,40.8345906037867,"{'type': 'Point', 'coordinates': [-73.849350015241, 40.834590603787]}",Residential Building/House,-73.84935001524146,MOBILE,BRONX,Unspecified,2019-01-27T07:01:21.000,The Police Department responded to the complaint and determined that police action was not necessary.,,Closed,WESTCHESTER AVENUE,,41531156,1025938,243377
267,ADDRESS,DEP,Department of Environmental Protection,1011050029,MANHATTAN,,,,NEW YORK,2019-01-28T11:48:00.000,04 MANHATTAN,Lead,2019-01-27T00:42:00.000,11 AVE,BEND,Lead Kit Request (Residential) (L10),,N/A,601 WEST   57 STREET,10019,,,40.77051976687385,"{'type': 'Point', 'coordinates': [-73.991869669918, 40.770519766874]}",,-73.99186966991847,ONLINE,MANHATTAN,Unspecified,2019-01-28T11:48:00.000,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,,Closed,WEST   57 STREET,,41532961,986502,219998
268,INTERSECTION,DOT,Department of Transportation,,QUEENS,,,,Flushing,2019-01-27T01:40:00.000,07 QUEENS,Traffic Signal Condition,2019-01-27T00:42:00.000,,,Controller,,N/A,,11354,MAIN STREET,ROOSEVELT AVENUE,40.75956956551904,"{'type': 'Point', 'coordinates': [-73.830139305213, 40.759569565519]}",,-73.83013930521312,UNKNOWN,QUEENS,Unspecified,2019-01-27T01:40:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,41525467,1031307,216054
269,ADDRESS,NYPD,New York City Police Department,1022260011,MANHATTAN,,,,NEW YORK,2019-01-27T02:25:56.000,12 MANHATTAN,Noise - Residential,2019-01-27T00:42:19.000,WEST 204 STREET,WEST 207 STREET,Loud Music/Party,2019-01-27T08:42:19.000,Precinct,119 VERMILYEA AVENUE,10034,,,40.866426745689424,"{'type': 'Point', 'coordinates': [-73.921493507565, 40.866426745689]}",Residential Building/House,-73.92149350756465,PHONE,MANHATTAN,Unspecified,2019-01-27T02:25:56.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,VERMILYEA AVENUE,,41526514,1005964,254950
270,ADDRESS,NYPD,New York City Police Department,3088010102,BROOKLYN,,,,BROOKLYN,2019-01-27T14:48:41.000,15 BROOKLYN,Illegal Parking,2019-01-27T00:42:22.000,BELT PARKWAY,LOSEE TERRACE,Blocked Sidewalk,2019-01-27T08:42:22.000,Precinct,2783 BATCHELDER STREET,11235,,,40.58565835463755,"{'type': 'Point', 'coordinates': [-73.936170679416, 40.585658354638]}",Street/Sidewalk,-73.93617067941608,MOBILE,BROOKLYN,Unspecified,2019-01-27T14:48:41.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,BATCHELDER STREET,,41531303,1001979,152654
271,ADDRESS,NYPD,New York City Police Department,3024370027,BROOKLYN,,,,BROOKLYN,2019-01-27T04:24:54.000,01 BROOKLYN,Noise - Residential,2019-01-27T00:42:29.000,KEAP STREET,HOOPER STREET,Loud Music/Party,2019-01-27T08:42:29.000,Precinct,361 SOUTH 4 STREET,11211,,,40.70848203990439,"{'type': 'Point', 'coordinates': [-73.953550199074, 40.708482039904]}",Residential Building/House,-73.95355019907412,ONLINE,BROOKLYN,Unspecified,2019-01-27T04:24:54.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,SOUTH 4 STREET,,41524892,997128,197399
272,ADDRESS,NYPD,New York City Police Department,4068120015,QUEENS,,,,FLUSHING,2019-01-27T06:53:16.000,08 QUEENS,Noise - Residential,2019-01-27T00:42:30.000,153 STREET,PARSONS BOULEVARD,Loud Television,2019-01-27T08:42:30.000,Precinct,153-08 77 AVENUE,11367,,,40.723387698613195,"{'type': 'Point', 'coordinates': [-73.812153214125, 40.723387698613]}",Residential Building/House,-73.81215321412506,PHONE,QUEENS,Unspecified,2019-01-27T06:53:16.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,77 AVENUE,,41528275,1036318,202882
273,ADDRESS,NYPD,New York City Police Department,1021700560,MANHATTAN,,,,NEW YORK,2019-01-27T02:25:56.000,12 MANHATTAN,Noise - Residential,2019-01-27T00:42:55.000,BROADWAY TERRACE,BROADWAY,Loud Music/Party,2019-01-27T08:42:55.000,Precinct,681 WEST 193 STREET,10040,,,40.85811381176047,"{'type': 'Point', 'coordinates': [-73.9312891984, 40.85811381176]}",Residential Building/House,-73.93128919840015,MOBILE,MANHATTAN,Unspecified,2019-01-27T02:25:56.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,WEST 193 STREET,,41526458,1003257,251919
274,BLOCKFACE,DOT,Department of Transportation,,MANHATTAN,,,,,2019-01-28T21:50:00.000,Unspecified MANHATTAN,Street Condition,2019-01-27T00:43:18.000,RIVERSIDE DRIVE,WEST  125 STREET,Pothole,,N/A,12 AVENUE,,,,,,,,UNKNOWN,MANHATTAN,Unspecified,2019-01-28T21:50:00.000,The Department of Transportation inspected this complaint and repaired the problem.,,Closed,12 AVENUE,,41541928,,
275,ADDRESS,NYPD,New York City Police Department,2033550040,BRONX,,,,BRONX,2019-01-27T03:13:58.000,07 BRONX,Blocked Driveway,2019-01-27T00:43:42.000,EAST 207 STREET,EAST 209 STREET,No Access,2019-01-27T08:43:42.000,Precinct,3281 PARKSIDE PLACE,10467,,,40.875564874806386,"{'type': 'Point', 'coordinates': [-73.873274511538, 40.875564874806]}",Street/Sidewalk,-73.87327451153828,PHONE,BRONX,Unspecified,2019-01-27T03:13:58.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,PARKSIDE PLACE,,41527817,1019296,258295
276,ADDRESS,NYPD,New York City Police Department,4067920030,QUEENS,,,,FLUSHING,2019-01-27T01:36:54.000,08 QUEENS,Noise - Residential,2019-01-27T00:43:52.000,65 AVENUE,MELBOURNE AVENUE,Loud Music/Party,2019-01-27T08:43:52.000,Precinct,67-17 KISSENA BOULEVARD,11367,,,40.73465914500061,"{'type': 'Point', 'coordinates': [-73.814744698701, 40.734659145001]}",Residential Building/House,-73.814744698701,ONLINE,QUEENS,Unspecified,2019-01-27T01:36:54.000,The Police Department responded to the complaint and a report was prepared.,,Closed,KISSENA BOULEVARD,,41529992,1035591,206987
277,BLOCKFACE,DOT,Department of Transportation,,MANHATTAN,,,,NEW YORK,2019-01-28T22:52:00.000,09 MANHATTAN,Street Condition,2019-01-27T00:44:03.000,AMSTERDAM AVENUE,BROADWAY,Pothole,,N/A,WEST  135 STREET,10031,,,40.81949863387738,"{'type': 'Point', 'coordinates': [-73.953581098073, 40.819498633877]}",,-73.95358109807282,UNKNOWN,MANHATTAN,Unspecified,2019-01-28T22:52:00.000,The Department of Transportation inspected this complaint and repaired the problem.,,Closed,WEST  135 STREET,,41544759,997098,237846
278,ADDRESS,NYPD,New York City Police Department,1010410011,MANHATTAN,,,,NEW YORK,2019-01-27T05:08:25.000,04 MANHATTAN,Noise - Residential,2019-01-27T00:44:19.000,8 AVENUE,9 AVENUE,Loud Music/Party,2019-01-27T08:44:19.000,Precinct,345 WEST 50 STREET,10019,,,40.76302901337029,"{'type': 'Point', 'coordinates': [-73.987834755365, 40.76302901337]}",Residential Building/House,-73.98783475536452,PHONE,MANHATTAN,Unspecified,2019-01-27T05:08:25.000,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,,Closed,WEST 50 STREET,,41529482,987620,217269
279,INTERSECTION,DOT,Department of Transportation,,MANHATTAN,,,,NEW YORK,2019-01-28T23:48:00.000,07 MANHATTAN,Street Condition,2019-01-27T00:44:45.000,,,Pothole,,N/A,,10023,BROADWAY,WEST 68 STREET,40.77548664982223,"{'type': 'Point', 'coordinates': [-73.982163931379, 40.775486649822]}",,-73.98216393137942,UNKNOWN,MANHATTAN,Unspecified,2019-01-28T23:48:00.000,The Department of Transportation inspected this complaint and repaired the problem.,,Closed,,,41543500,989190,221808
280,ADDRESS,NYPD,New York City Police Department,1004177501,MANHATTAN,,,,NEW YORK,2019-01-27T02:34:13.000,03 MANHATTAN,Noise - Commercial,2019-01-27T00:44:47.000,STANTON STREET,1 AVENUE,Loud Music/Party,2019-01-27T08:44:47.000,Precinct,190 ALLEN STREET,10002,,,40.722247617621264,"{'type': 'Point', 'coordinates': [-73.988899242703, 40.722247617621]}",Store/Commercial,-73.9888992427031,MOBILE,MANHATTAN,Unspecified,2019-01-27T02:34:13.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,ALLEN STREET,,41526609,987327,202411
